,Token,Score,Syllable_Count,Word_length,IsComplex
0,Data,0,2,4,0
1,forms,0,1,5,0
2,e,0,1,1,0
3,primary,0,2,7,0
4,data,0,2,4,0
5,secondary,0,3,9,1
6,data,0,2,4,0
7,experimental,0,5,12,1
8,data,0,2,4,0
9,sales,0,0,5,0
10,data,0,2,4,0
11,transactional,0,5,13,1
12,data,0,2,4,0
13,operational,0,6,11,1
14,data,0,2,4,0
15,strategic,0,3,9,1
16,data,0,2,4,0
17,log,0,1,3,0
18,data,0,2,4,0
19,much,0,1,4,0
20,Data,0,2,4,0
21,potential,0,4,9,1
22,transform,0,2,9,0
23,business,0,3,8,1
24,drive,0,2,5,0
25,creation,0,4,8,1
26,business,0,3,8,1
27,value,0,3,5,1
28,Data,0,2,4,0
29,used,0,0,4,0
30,range,0,2,5,0
31,simple,0,2,6,0
32,tasks,0,1,5,0
33,managing,0,3,8,1
34,dashboards,0,3,10,1
35,e,0,1,1,0
36,operation,0,5,9,1
37,strategic,0,3,9,1
38,analytical,0,4,10,1
39,visualizing,0,5,11,1
40,relationships,0,5,13,1
41,However,0,3,7,1
42,real,0,2,4,0
43,power,0,2,5,0
44,data,0,2,4,0
45,lies,-1,0,4,0
46,use,0,2,3,0
47,analytical,0,4,10,1
48,tools,0,2,5,0
49,BI,0,1,2,0
50,tool,0,2,4,0
51,R,0,0,1,0
52,Python,0,1,6,0
53,excel,1,2,5,0
54,etc,0,1,3,0
55,allow,0,2,5,0
56,user,0,2,4,0
57,extract,0,2,7,0
58,useful,0,3,6,1
59,knowledge,0,3,9,1
60,quantify,0,3,8,1
61,factors,0,2,7,0
62,impact,0,2,6,0
63,events,0,2,6,0
64,examples,0,0,8,0
65,include,0,3,7,1
66,Customer,0,3,8,1
67,sentiment,0,3,9,1
68,analysis,0,3,8,1
69,customer,0,3,8,1
70,churn,0,1,5,0
71,analytics,0,3,9,1
72,geospatial,0,5,10,1
73,analysis,0,3,8,1
74,key,0,1,3,0
75,operation,0,5,9,1
76,centers,0,2,7,0
77,workforce,0,3,9,1
78,planning,0,2,8,0
79,recruiting,0,4,10,1
80,smart,0,1,5,0
81,planning,0,2,8,0
82,risk,-1,1,4,0
83,sensing,0,2,7,0
84,Analytical,0,4,10,1
85,tools,0,2,5,0
86,discovery,0,3,9,1
87,last,0,1,4,0
88,decade,0,3,6,1
89,fact,0,1,4,0
90,centuries,0,0,9,0
91,Statistical,0,4,11,1
92,regressions,0,4,11,1
93,classification,0,6,14,1
94,models,0,2,6,0
95,around,0,3,6,1
96,part,0,1,4,0
97,20th,0,0,4,0
98,century,0,2,7,0
99,however,0,3,7,1
100,explosive,-1,4,9,1
101,growth,0,1,6,0
102,data,0,2,4,0
103,times,0,0,5,0
104,combined,0,0,8,0
105,advanced,1,0,8,0
106,computational,0,6,13,1
107,power,0,2,5,0
108,renders,0,2,7,0
109,data,0,2,4,0
110,analytics,0,3,9,1
111,key,0,1,3,0
112,tool,0,2,4,0
113,across,0,2,6,0
114,businesses,0,0,10,0
115,industries,0,0,10,0
116,Financial,0,4,9,1
117,Industry,0,2,8,0
118,examples,0,0,8,0
119,using,0,2,5,0
120,data,0,2,4,0
121,analytics,0,3,9,1
122,create,0,3,6,1
123,business,0,3,8,1
124,value,0,3,5,1
125,include,0,3,7,1
126,fraud,-1,2,5,0
127,detection,0,4,9,1
128,customer,0,3,8,1
129,segmentation,0,5,12,1
130,churn,0,1,5,0
131,prevention,0,4,10,1
132,insurance,0,4,9,1
133,premium,0,3,7,1
134,modeling,0,3,8,1
135,risk,-1,1,4,0
136,modeling,0,3,8,1
137,credit,0,2,6,0
138,score,0,2,5,0
139,modeling,0,3,8,1
140,employee,0,4,8,1
141,client,0,2,6,0
142,retention,0,4,9,1
143,order,0,2,5,0
144,data,0,2,4,0
145,analytics,0,3,9,1
146,reveal,0,3,6,1
147,potential,0,4,9,1
