,Token,Score,Syllable_Count,Word_length,IsComplex
0,Investment,0,3,10,1
1,investment,0,3,10,1
2,resource,0,4,8,1
3,thing,0,1,5,0
4,procured,0,0,8,0
5,objective,0,4,9,1
6,producing,0,3,9,1
7,pay,0,1,3,0
8,appreciation,0,6,12,1
9,Economically,0,5,12,1
10,investment,0,3,10,1
11,buy,0,1,3,0
12,products,0,2,8,0
13,expended,0,0,8,0
14,nowadays,0,3,8,1
15,utilized,0,0,8,0
16,within,0,2,6,0
17,future,0,3,6,1
18,make,0,2,4,0
19,riches,0,0,6,0
20,Financially,0,4,11,1
21,investment,0,3,10,1
22,money,0,2,5,0
23,related,0,0,7,0
24,resource,0,4,8,1
25,acquired,0,0,8,0
26,idea,0,3,4,1
27,resource,0,4,8,1
28,give,0,2,4,0
29,wage,0,2,4,0
30,within,0,2,6,0
31,future,0,3,6,1
32,afterward,0,3,9,1
33,sold,0,1,4,0
34,next,0,1,4,0
35,cost,0,1,4,0
36,benefit,1,3,7,1
37,desire,0,3,6,1
38,return,0,2,6,0
39,within,0,2,6,0
40,frame,0,2,5,0
41,wage,0,2,4,0
42,cost,0,1,4,0
43,appreciation,0,6,12,1
44,center,0,2,6,0
45,preface,0,3,7,1
46,investment,0,3,10,1
47,range,0,2,5,0
48,resources,0,0,9,0
49,contribute,0,4,10,1
50,earn,0,2,4,0
51,return,0,2,6,0
52,exceptionally,1,5,13,1
53,wide,0,2,4,0
54,one,0,2,3,0
55,Hazard,0,2,6,0
56,return,0,2,6,0
57,go,0,1,2,0
58,hand,0,1,4,0
59,hand,0,1,4,0
60,contributing,0,4,12,1
61,moo,0,2,3,0
62,chance,0,2,6,0
63,part,0,1,4,0
64,implies,0,0,7,0
65,moo,0,2,3,0
66,anticipated,0,0,11,0
67,returns,0,2,7,0
68,whereas,0,3,7,1
69,higher,0,2,6,0
70,returns,0,2,7,0
71,ordinarily,0,4,10,1
72,went,0,1,4,0
73,higher,0,2,6,0
74,chance,0,2,6,0
75,low,0,1,3,0
76,risk,-1,1,4,0
77,conclusion,0,4,10,1
78,range,0,2,5,0
79,essential,0,4,9,1
80,ventures,0,0,8,0
81,Certificates,0,0,12,0
82,Store,0,2,5,0
83,bonds,0,1,5,0
84,fixed,0,0,5,0
85,income,0,3,6,1
