,Token,Score,Syllable_Count,Word_length,IsComplex
0,sow,0,1,3,0
1,reap,0,2,4,0
2,God,0,1,3,0
3,watches,0,0,7,0
4,everything,0,3,10,1
5,often,0,2,5,0
6,wonder,0,2,6,0
7,God,0,1,3,0
8,really,0,2,6,0
9,God,0,1,3,0
10,person,0,2,6,0
11,infinite,0,4,8,1
12,life,0,2,4,0
13,great,1,2,5,0
14,acumen,1,3,6,1
15,analytics,0,3,9,1
16,would,0,2,5,0
17,able,0,2,4,0
18,predict,0,2,7,0
19,manipulate,-1,5,10,1
20,future,0,3,6,1
21,based,0,0,5,0
22,actions,0,3,7,1
23,atheist,0,3,7,1
24,find,0,1,4,0
25,better,0,2,6,0
26,metaphor,0,3,8,1
27,depict,0,2,6,0
28,power,0,2,5,0
29,analytics,0,3,9,1
30,Analytics,0,3,9,1
31,interpreting,0,4,12,1
32,communicating,0,5,13,1
33,relevant,0,3,8,1
34,meaningful,1,4,10,1
35,patterns,0,2,8,0
36,data,0,2,4,0
37,Thus,0,1,4,0
38,obvious,0,4,7,1
39,existence,0,4,9,1
40,analytics,0,3,9,1
41,requires,0,0,8,0
42,data,0,2,4,0
43,good,0,2,4,0
44,news,0,1,4,0
45,data,0,2,4,0
46,everywhere,0,4,10,1
47,every,0,2,5,0
48,single,0,2,6,0
49,human,0,2,5,0
50,impression,0,4,10,1
51,online,0,3,6,1
52,offline,0,3,7,1
53,data,0,2,4,0
54,bad,-1,1,3,0
55,news,0,1,4,0
56,extremely,0,3,9,1
57,difficult,-1,3,9,1
58,filter,0,2,6,0
59,relevant,0,3,8,1
60,information,0,5,11,1
61,ocean,0,3,5,1
62,data,0,2,4,0
63,Well,0,1,4,0
64,relief,1,3,6,1
65,analytics,0,3,9,1
66,getting,0,2,7,0
67,evolved,0,0,7,0
68,take,0,2,4,0
69,care,0,2,4,0
70,issue,-1,3,5,1
71,well,0,1,4,0
72,answer,0,2,6,0
73,evolved,0,0,7,0
74,analytics,0,3,9,1
75,issue,-1,3,5,1
76,finding,0,2,7,0
77,relevant,0,3,8,1
78,data,0,2,4,0
79,Web,0,1,3,0
80,3,0,0,1,0
81,0,0,0,1,0
82,embedded,0,0,8,0
83,Artificial,0,5,10,1
84,Intelligence,1,5,12,1
85,simple,0,2,6,0
86,words,0,1,5,0
87,searching,0,3,9,1
88,particular,0,4,10,1
89,information,0,5,11,1
90,let,0,1,3,0
91,say,0,1,3,0
92,word,0,1,4,0
93,Adam,0,2,4,0
94,could,0,2,5,0
95,anything,0,2,8,0
96,name,0,2,4,0
97,brand,0,1,5,0
98,restaurant,0,4,10,1
99,whatsoever,0,4,10,1
100,Web,0,1,3,0
101,3,0,0,1,0
102,0,0,0,1,0
103,analyze,0,3,7,1
104,location,0,4,8,1
105,interests,1,3,9,1
106,impressions,0,4,11,1
107,internet,0,3,8,1
108,basis,0,2,5,0
109,show,0,1,4,0
110,results,0,2,7,0
111,word,0,1,4,0
112,Adam,0,2,4,0
113,relevant,0,3,8,1
114,companies,0,0,9,0
115,days,0,1,4,0
116,find,0,1,4,0
117,positioning,0,5,11,1
118,products,0,2,8,0
119,brands,0,1,6,0
120,crucial,0,3,7,1
121,challenging,-1,3,11,1
122,task,0,1,4,0
123,myriad,0,2,6,0
124,similar,0,3,7,1
125,brands,0,1,6,0
126,similar,0,3,7,1
127,offerings,0,3,9,1
128,really,0,2,6,0
129,difficult,-1,3,9,1
130,make,0,2,4,0
131,dominant,0,3,8,1
132,impression,0,4,10,1
133,minds,0,1,5,0
134,consumers,0,3,9,1
135,digital,0,3,7,1
136,platforms,0,2,9,0
137,coming,0,2,6,0
138,picture,0,3,7,1
139,power,0,2,5,0
140,passed,0,0,6,0
141,hands,0,1,5,0
142,consumers,0,3,9,1
143,selection,0,4,9,1
144,delivery,0,3,8,1
145,channels,0,2,8,0
146,selection,0,4,9,1
147,communication,0,6,13,1
148,channels,0,2,8,0
149,selection,0,4,9,1
150,payment,0,2,7,0
151,methods,0,2,7,0
152,every,0,2,5,0
153,component,0,3,9,1
154,distribution,0,5,12,1
155,channel,0,2,7,0
156,offering,0,3,8,1
157,bundled,0,0,7,0
158,actual,0,3,6,1
159,product,0,2,7,0
160,service,0,3,7,1
161,Thus,0,1,4,0
162,companies,0,0,9,0
163,leveraging,0,4,10,1
164,attributes,0,0,10,0
165,distribution,0,5,12,1
166,channels,0,2,8,0
167,point,0,2,5,0
168,differentiation,0,7,15,1
169,stand,0,1,5,0
170,horde,-1,2,5,0
171,brands,0,1,6,0
172,order,0,2,5,0
173,control,0,2,7,0
174,optimize,0,4,8,1
175,attributes,0,0,10,0
176,brands,0,1,6,0
177,trying,0,1,6,0
178,decipher,0,3,8,1
179,behavior,0,4,8,1
180,consumers,0,3,9,1
181,preferences,0,0,11,0
182,critically,0,3,10,1
183,analyzing,0,3,9,1
184,site,0,2,4,0
185,store,0,2,5,0
186,buying,0,2,6,0
187,patterns,0,2,8,0
188,need,0,0,4,0
189,marketers,0,3,9,1
190,led,1,0,3,0
191,introduction,0,5,12,1
192,call,0,1,4,0
193,Age,0,2,3,0
194,Analytics,0,3,9,1
195,let,0,1,3,0
196,us,0,1,2,0
197,look,0,2,4,0
198,great,1,2,5,0
199,unique,0,4,6,1
200,ways,0,1,4,0
201,Analytics,0,3,9,1
202,helped,1,0,6,0
203,firms,0,1,5,0
204,accurately,1,4,10,1
205,analyze,0,3,7,1
206,predict,0,2,7,0
207,consumer,0,3,8,1
208,buying,0,2,6,0
209,behavior,0,4,8,1
210,Let,0,1,3,0
211,us,0,1,2,0
212,design,0,2,6,0
213,recipe,0,3,6,1
214,success,1,2,7,0
215,fragmenting,0,3,11,1
216,Analytics,0,3,9,1
217,different,0,3,9,1
218,kinds,0,1,5,0
219,explaining,0,4,10,1
220,role,0,2,4,0
221,fragment,0,2,8,0
222,designing,0,3,9,1
223,business,0,3,8,1
224,plan,0,1,4,0
225,firm,0,1,4,0
226,depending,0,3,9,1
227,upon,0,2,4,0
228,field,0,2,5,0
229,analysis,0,3,8,1
230,objective,0,4,9,1
231,analysis,0,3,8,1
232,Analytics,0,3,9,1
233,largely,0,2,7,0
234,fragmented,-1,0,10,0
235,predictive,0,4,10,1
236,analytics,0,3,9,1
237,prescriptive,0,4,12,1
238,analytics,0,3,9,1
239,descriptive,0,4,11,1
240,analytics,0,3,9,1
241,retail,0,3,6,1
242,analytics,0,3,9,1
243,store,0,2,5,0
244,assortment,0,3,10,1
245,stock,0,1,5,0
246,keeping,0,3,7,1
247,unit,0,2,4,0
248,optimization,0,6,12,1
249,marketing,0,3,9,1
250,optimization,0,6,12,1
251,marketing,0,3,9,1
252,mix,0,1,3,0
253,modeling,0,3,8,1
254,web,0,1,3,0
255,analytics,0,3,9,1
256,let,0,1,3,0
257,us,0,1,2,0
258,look,0,2,4,0
259,different,0,3,9,1
260,stages,0,0,6,0
261,involved,0,0,8,0
262,designing,0,3,9,1
263,business,0,3,8,1
264,plan,0,1,4,0
265,firm,0,1,4,0
266,right,0,1,5,0
267,kind,0,1,4,0
268,analytics,0,3,9,1
269,applied,0,0,7,0
270,particular,0,4,10,1
271,stage,0,2,5,0
272,Industry,0,2,8,0
273,Analysis,0,3,8,1
274,Understanding,0,4,13,1
275,battleground,0,4,12,1
276,important,1,3,9,1
277,analyze,0,3,7,1
278,industry,0,2,8,0
279,firm,0,1,4,0
280,operating,0,4,9,1
281,One,0,2,3,0
282,cannot,0,2,6,0
283,compare,0,3,7,1
284,sales,0,0,5,0
285,geo,0,2,3,0
286,textile,0,3,7,1
287,manufacturing,0,5,13,1
288,company,0,2,7,0
289,company,0,2,7,0
290,manufactures,0,0,12,0
291,biscuits,0,3,8,1
292,Thus,0,1,4,0
293,analyzing,0,3,9,1
294,industry,0,2,8,0
295,standards,0,2,9,0
296,foremost,1,3,8,1
297,step,0,1,4,0
298,towards,0,2,7,0
299,developing,0,4,10,1
300,successful,1,3,10,1
301,business,0,3,8,1
302,plan,0,1,4,0
303,stage,0,2,5,0
304,firm,0,1,4,0
305,needs,0,2,5,0
306,descriptive,0,4,11,1
307,analytics,0,3,9,1
308,tools,0,2,5,0
309,interpret,0,3,9,1
310,past,0,1,4,0
311,data,0,2,4,0
312,industry,0,2,8,0
313,meaningful,1,4,10,1
314,patterns,0,2,8,0
315,trends,0,1,6,0
316,easier,1,4,6,1
317,study,0,1,5,0
318,Also,0,2,4,0
319,industry,0,2,8,0
320,standards,0,2,9,0
321,must,0,1,4,0
322,converted,0,0,9,0
323,measurable,0,5,10,1
324,terms,0,1,5,0
325,define,0,3,6,1
326,reference,0,4,9,1
327,point,0,2,5,0
328,firm,0,1,4,0
329,Determining,0,4,11,1
330,internal,0,3,8,1
331,competencies,0,0,12,0
332,Understanding,0,4,13,1
333,power,0,2,5,0
334,self,0,1,4,0
335,entering,0,3,8,1
336,battleground,0,4,12,1
337,firm,0,1,4,0
338,must,0,1,4,0
339,aware,0,3,5,1
340,strengths,0,1,9,0
341,weaknesses,-1,0,10,0
342,Weakness,-1,3,8,1
343,term,0,1,4,0
344,transform,0,2,9,0
345,fate,0,2,4,0
346,firm,0,1,4,0
347,company,0,2,7,0
348,aware,0,3,5,1
349,better,0,2,6,0
350,company,0,2,7,0
351,knows,0,1,5,0
352,Descriptive,0,4,11,1
353,Analytics,0,3,9,1
354,come,0,2,4,0
355,play,0,1,4,0
356,different,0,3,9,1
357,context,0,2,7,0
358,approach,0,3,8,1
359,company,0,2,7,0
360,centric,0,2,7,0
361,include,0,3,7,1
362,determining,0,4,11,1
363,infrastructural,0,5,15,1
364,customer,0,3,8,1
365,service,0,3,7,1
366,capabilities,0,0,12,0
367,firm,0,1,4,0
368,external,0,3,8,1
369,opportunities,0,0,13,0
370,threats,-1,2,7,0
371,firm,0,1,4,0
372,data,0,2,4,0
373,obtained,0,0,8,0
374,primary,0,2,7,0
375,secondary,0,3,9,1
376,research,0,3,8,1
377,techniques,0,0,10,0
378,Understanding,0,4,13,1
379,consumers,0,3,9,1
380,center,0,2,6,0
381,every,0,2,5,0
382,business,0,3,8,1
383,plan,0,1,4,0
384,consumer,0,3,8,1
385,Thus,0,1,4,0
386,understanding,0,4,13,1
387,needs,0,2,5,0
388,preferences,0,0,11,0
389,becomes,0,0,7,0
390,urgent,-1,2,6,0
391,requirement,0,5,11,1
392,business,0,3,8,1
393,plan,0,1,4,0
394,answer,0,2,6,0
395,urgency,0,2,7,0
396,Predictive,0,4,10,1
397,Analytics,0,3,9,1
398,Predictive,0,4,10,1
399,analytics,0,3,9,1
400,takes,0,0,5,0
401,past,0,1,4,0
402,buying,0,2,6,0
403,behavior,0,4,8,1
404,buying,0,2,6,0
405,pattern,0,2,7,0
406,consumers,0,3,9,1
407,input,0,2,5,0
408,analysis,0,3,8,1
409,key,0,1,3,0
410,tasks,0,1,5,0
411,predict,0,2,7,0
412,perceived,0,0,9,0
413,value,0,3,5,1
414,offerings,0,3,9,1
415,minds,0,1,5,0
416,consumers,0,3,9,1
417,consumer,0,3,8,1
418,involvement,0,4,11,1
419,product,0,2,7,0
420,factors,0,2,7,0
421,influencing,0,4,11,1
422,consumers,0,3,9,1
