,Token,Score,Syllable_Count,Word_length,IsComplex
0,democratization,0,7,15,1
1,data,0,2,4,0
2,access,0,2,6,0
3,usage,0,3,5,1
4,enterprise,0,4,10,1
5,underway,0,3,8,1
6,Establishing,0,4,12,1
7,data,0,2,4,0
8,governance,0,4,10,1
9,organization,0,6,12,1
10,wide,0,2,4,0
11,information,0,5,11,1
12,management,0,4,10,1
13,becomes,0,0,7,0
14,must,0,1,4,0
15,Metadata,0,4,8,1
16,management,0,4,10,1
17,allows,0,2,6,0
18,end,0,1,3,0
19,end,0,1,3,0
20,traceability,0,5,12,1
21,data,0,2,4,0
22,sourcing,0,3,8,1
23,data,0,2,4,0
24,consumption,0,4,11,1
25,traceability,0,5,12,1
26,required,0,0,8,0
27,personal,0,3,8,1
28,data,0,2,4,0
29,regulations,0,5,11,1
30,GDPR,0,0,4,0
31,Traceability,0,5,12,1
32,Traceability,0,5,12,1
33,means,0,2,5,0
34,transparency,0,3,12,1
35,flows,0,1,5,0
36,goods,0,2,5,0
37,data,0,2,4,0
38,basic,0,2,5,0
39,requirement,0,5,11,1
40,modern,1,2,6,0
41,supply,0,1,6,0
42,chain,0,2,5,0
43,Consumers,0,3,9,1
44,authorities,0,0,11,0
45,various,0,4,7,1
46,quality,0,3,7,1
47,assurance,1,4,9,1
48,product,0,2,7,0
49,standards,0,2,9,0
50,demand,0,2,6,0
51,transparent,1,3,11,1
52,information,0,5,11,1
53,raw,0,1,3,0
54,materials,0,4,9,1
55,primary,0,2,7,0
56,packaging,0,3,9,1
57,Brand,0,1,5,0
58,owners,0,2,6,0
59,need,0,0,4,0
60,able,0,2,4,0
61,fully,0,1,5,0
62,answer,0,2,6,0
63,questions,0,4,9,1
64,quickly,0,2,7,0
65,batch,0,1,5,0
66,level,0,2,5,0
67,source,0,3,6,1
68,raw,0,1,3,0
69,materials,0,4,9,1
70,production,0,4,10,1
71,methods,0,2,7,0
72,staging,0,2,7,0
73,points,0,2,6,0
74,good,0,2,4,0
75,traceability,0,5,12,1
76,information,0,5,11,1
77,system,0,1,6,0
78,brand,0,1,5,0
79,owner,0,2,5,0
80,guarantee,1,5,9,1
81,protection,1,4,10,1
82,consumers,0,3,9,1
83,quickly,0,2,7,0
84,contain,0,3,7,1
