,Token,Score,Syllable_Count,Word_length,IsComplex
0,projects,0,2,8,0
1,20,0,0,2,0
2,30,0,0,2,0
3,decline,-1,3,7,1
4,international,0,6,13,1
5,tourist,0,3,7,1
6,arrivals,0,3,8,1
7,2020,0,0,4,0
8,could,0,2,5,0
9,put,0,1,3,0
10,50,0,0,2,0
11,million,0,3,7,1
12,jobs,0,1,4,0
13,risk,-1,1,4,0
14,Asia,0,3,4,1
15,likely,0,2,6,0
16,affected,0,0,8,0
17,continent,0,3,9,1
18,good,0,2,4,0
19,old,0,1,3,0
20,days,0,1,4,0
21,tourism,0,3,7,1
22,travel,0,2,6,0
23,return,0,2,6,0
24,next,0,1,4,0
25,year,0,2,4,0
26,changing,0,2,8,0
27,Read,0,2,4,0
28,discover,0,3,8,1
29,robot,0,2,5,0
30,Athena,0,3,6,1
31,found,0,2,5,0
32,future,0,3,6,1
33,topic,0,2,5,0
34,act,0,1,3,0
35,accordingly,0,3,11,1
36,family,0,2,6,0
37,organization,0,6,12,1
38,years,0,2,5,0
39,ahead,0,3,5,1
40,Make,0,2,4,0
41,notes,0,0,5,0
42,issues,-1,0,6,0
43,could,0,2,5,0
44,affect,0,2,6,0
45,go,0,1,2,0
46,foresight,1,3,9,1
47,recommend,1,3,9,1
48,view,0,2,4,0
49,slide,0,2,5,0
50,presentation,0,5,12,1
51,get,0,1,3,0
52,report,0,2,6,0
53,Speed,0,0,5,0
54,read,0,2,4,0
55,Athena,0,3,6,1
56,high,0,1,4,0
57,level,0,2,5,0
58,take,0,2,4,0
59,outs,0,2,4,0
60,left,0,1,4,0
61,slide,0,2,5,0
62,delve,0,2,5,0
63,deeper,0,3,6,1
64,findings,0,2,8,0
65,right,0,1,5,0
66,Analysis,0,3,8,1
67,detailed,0,0,8,0
68,explanation,0,5,11,1
69,graphics,0,2,8,0
70,used,0,0,4,0
71,presentation,0,5,12,1
72,please,0,3,6,1
73,click,0,1,5,0
74,outlooks,0,4,8,1
75,based,0,0,5,0
76,time,0,2,4,0
77,period,0,3,6,1
78,2020,0,0,4,0
79,2070,0,0,4,0
80,likely,0,2,6,0
81,happening,0,3,9,1
82,2025,0,0,4,0
83,95,0,0,2,0
84,confidence,1,4,10,1
85,level,0,2,5,0
86,unless,0,2,6,0
87,otherwise,0,4,9,1
88,stated,0,0,6,0
89,Please,0,3,6,1
90,contact,0,2,7,0
91,us,0,1,2,0
92,longer,0,2,6,0
93,term,0,1,4,0
94,outlooks,0,4,8,1
95,VIDEO,0,3,5,1
96,SUMMARY,0,2,7,0
97,read,0,2,4,0
98,video,0,3,5,1
99,summary,0,2,7,0
100,click,0,1,5,0
