,Token,Score,Syllable_Count,Word_length,IsComplex
0,18,0,0,2,0
1,35,0,0,2,0
2,years,0,2,5,0
3,age,0,2,3,0
4,group,0,2,5,0
5,commonly,0,2,8,0
6,known,0,1,5,0
7,millennials,0,4,11,1
8,crucial,0,3,7,1
9,population,0,5,10,1
10,group,0,2,5,0
11,brands,0,1,6,0
12,need,0,0,4,0
13,consider,0,3,8,1
14,marketing,0,3,9,1
15,strategy,0,2,8,0
16,group,0,2,5,0
17,important,1,3,9,1
18,Millennials,0,4,11,1
19,officially,0,4,10,1
20,outnumbered,0,0,11,0
21,Boomer,0,3,6,1
22,generation,0,5,10,1
23,currently,0,2,9,0
24,largest,0,2,7,0
25,living,0,2,6,0
26,generation,0,5,10,1
27,planet,0,2,6,0
28,U,0,1,1,0
29,alone,0,3,5,1
30,83,0,0,2,0
31,million,0,3,7,1
32,millennials,0,4,11,1
33,2020,0,0,4,0
34,least,0,2,5,0
35,adults,0,2,6,0
36,millennial,0,4,10,1
37,generation,0,5,10,1
38,Millennials,0,4,11,1
39,also,0,2,4,0
40,ethnically,0,3,10,1
41,racially,0,3,8,1
42,liberally,0,3,9,1
43,diverse,0,3,7,1
44,generation,0,5,10,1
45,Millennials,0,4,11,1
46,consumer,0,3,8,1
47,force,0,2,5,0
48,reckoned,0,0,8,0
49,200,0,0,3,0
50,billion,0,3,7,1
51,annual,0,3,6,1
52,buying,0,2,6,0
53,power,0,2,5,0
54,smart,0,1,5,0
55,marketers,0,3,9,1
56,know,0,1,4,0
57,need,0,0,4,0
58,use,0,2,3,0
59,methods,0,2,7,0
60,hook,0,2,4,0
61,generation,0,5,10,1
62,Millennials,0,4,11,1
63,least,0,2,5,0
64,frequent,0,3,8,1
65,store,0,2,5,0
66,shoppers,0,2,8,0
67,responsive,1,4,10,1
68,online,0,3,6,1
69,shopping,0,2,8,0
70,opportunities,0,0,13,0
71,recommendations,1,6,15,1
72,friends,0,2,7,0
73,family,0,2,6,0
74,motivated,1,0,9,0
75,seamless,1,3,8,1
76,shopping,0,2,8,0
77,experiences,0,0,11,0
78,millennials,0,4,11,1
79,active,0,3,6,1
80,group,0,2,5,0
81,social,0,3,6,1
82,media,0,3,5,1
83,prefer,1,2,6,0
