,Token,Score,Syllable_Count,Word_length,IsComplex
0,According,0,3,9,1
1,Jack,0,1,4,0
2,Welch,0,1,5,0
3,legendary,1,3,9,1
4,CEO,0,2,3,0
5,People,0,3,6,1
6,related,0,0,7,0
7,decisions,0,4,9,1
8,huge,0,2,4,0
9,impact,0,2,6,0
10,organization,0,6,12,1
11,success,1,2,7,0
12,failure,-1,4,7,1
13,Traditionally,0,5,13,1
14,decisions,0,4,9,1
15,largely,0,2,7,0
16,based,0,0,5,0
17,intuitions,0,5,10,1
18,biases,-1,0,6,0
19,use,0,2,3,0
20,data,0,2,4,0
21,analytics,0,3,9,1
22,tools,0,2,5,0
23,inform,0,2,6,0
24,decisions,0,4,9,1
25,manage,0,3,6,1
26,people,0,3,6,1
27,Big,0,1,3,0
28,companies,0,0,9,0
29,like,0,2,4,0
30,Teach,0,2,5,0
31,America,0,4,7,1
32,Google,0,3,6,1
33,adopted,0,0,7,0
34,technique,0,4,9,1
35,started,0,0,7,0
36,using,0,2,5,0
37,workplace,0,3,9,1
38,data,0,2,4,0
39,build,0,2,5,0
40,better,0,2,6,0
41,employees,0,0,9,0
42,Professional,0,5,12,1
43,sports,0,1,6,0
44,ahead,0,3,5,1
45,almost,0,2,6,0
46,entire,0,3,6,1
47,non,0,1,3,0
48,sports,0,1,6,0
49,world,0,1,5,0
50,using,0,2,5,0
51,tools,0,2,5,0
52,whole,0,2,5,0
53,existence,0,4,9,1
54,based,0,0,5,0
55,performance,0,4,11,1
56,individuals,0,5,11,1
57,Hard,-1,1,4,0
58,data,0,2,4,0
59,used,0,0,4,0
60,make,0,2,4,0
61,soft,1,1,4,0
62,skill,1,1,5,0
63,decisions,0,4,9,1
64,hiring,0,2,6,0
65,talent,1,2,6,0
66,development,0,4,11,1
67,done,0,2,4,0
68,basis,0,2,5,0
69,performance,0,4,11,1
70,evaluation,0,6,10,1
71,figuring,0,3,8,1
72,hard,-1,1,4,0
73,people,0,3,6,1
74,working,0,2,7,0
75,based,0,0,5,0
76,analyzing,0,3,9,1
77,outcomes,0,0,8,0
78,tend,0,1,4,0
79,judge,0,2,5,0
80,people,0,3,6,1
81,outcome,0,4,7,1
82,process,0,2,7,0
83,fundamental,0,4,11,1
84,challenge,0,3,9,1
85,range,0,2,5,0
86,outcomes,0,0,8,0
87,occur,0,2,5,0
88,due,0,2,3,0
89,factors,0,2,7,0
90,outside,0,4,7,1
91,employee,0,4,8,1
92,control,0,2,7,0
93,challenge,0,3,9,1
94,separating,0,4,10,1
95,skill,1,1,5,0
96,luck,0,1,4,0
97,instance,0,3,8,1
98,performance,0,4,11,1
99,measure,0,4,7,1
100,pretty,1,1,6,0
101,high,0,1,4,0
102,good,0,2,4,0
103,outcomes,0,0,8,0
104,scale,0,2,5,0
105,quite,0,3,5,1
106,confident,1,3,9,1
107,high,0,1,4,0
108,effort,0,2,6,0
109,also,0,2,4,0
110,low,0,1,3,0
111,effort,0,2,6,0
112,favorable,1,4,9,1
113,environmental,0,5,13,1
114,factors,0,2,7,0
115,resulted,0,0,8,0
116,good,0,2,4,0
117,outcome,0,4,7,1
118,consequence,0,5,11,1
119,Unless,0,2,6,0
120,similar,0,3,7,1
121,situation,0,5,9,1
122,difficult,-1,3,9,1
123,compare,0,3,7,1
124,another,0,3,7,1
125,type,0,1,4,0
126,situation,0,5,9,1
127,need,0,0,4,0
128,detailed,0,0,8,0
129,analysis,0,3,8,1
130,drive,0,2,5,0
131,business,0,3,8,1
132,performance,0,4,11,1
133,Also,0,2,4,0
134,try,0,0,3,0
135,test,0,1,4,0
136,people,0,3,6,1
137,based,0,0,5,0
138,persistence,0,4,11,1
139,level,0,2,5,0
140,skills,0,1,6,0
141,persist,0,2,7,0
142,chance,0,2,6,0
143,persist,0,2,7,0
144,Regression,-1,4,10,1
145,mean,0,2,4,0
146,also,0,2,4,0
147,method,0,2,6,0
148,suggested,0,0,9,0
149,Wharton,0,2,7,0
150,top,1,1,3,0
151,professors,0,3,10,1
152,instance,0,3,8,1
153,sample,0,2,6,0
154,say,0,1,3,0
155,person,0,2,6,0
156,running,0,2,7,0
157,speed,0,0,5,0
158,look,0,2,4,0
159,language,0,4,8,1
160,ability,0,3,7,1
161,fastest,1,2,7,0
162,runners,0,2,7,0
163,almost,0,2,6,0
164,definition,0,5,10,1
165,necessarily,0,4,11,1
166,people,0,3,6,1
167,language,0,4,8,1
168,ability,0,3,7,1
169,inverse,0,3,7,1
170,relationship,0,5,12,1
171,language,0,4,8,1
172,running,0,2,7,0
173,ability,0,3,7,1
174,traits,0,2,6,0
175,simply,0,1,6,0
176,imperfectly,-1,3,11,1
177,correlated,0,0,10,0
178,sample,0,2,6,0
179,extreme,0,3,7,1
180,expect,0,2,6,0
181,regression,-1,4,10,1
182,mean,0,2,4,0
183,attribute,0,4,9,1
184,important,1,3,9,1
185,choose,0,3,6,1
186,sample,0,2,6,0
187,data,0,2,4,0
188,especially,0,4,10,1
189,small,0,1,5,0
190,samples,0,0,7,0
191,instance,0,3,8,1
192,likely,0,2,6,0
193,dramatically,0,4,12,1
194,higher,0,2,6,0
195,percentage,0,4,10,1
196,boys,0,1,4,0
197,girls,0,1,5,0
198,vice,0,2,4,0
199,versa,0,2,5,0
200,born,0,1,4,0
201,given,0,2,5,0
202,day,0,1,3,0
203,smaller,0,2,7,0
204,larger,0,2,6,0
205,hospital,0,3,8,1
206,small,0,1,5,0
207,hospital,0,3,8,1
208,course,0,3,6,1
209,could,0,2,5,0
210,large,0,2,5,0
211,variations,0,5,10,1
212,might,0,1,5,0
213,girls,0,1,5,0
214,day,0,1,3,0
215,boys,0,1,4,0
216,another,0,3,7,1
217,day,0,1,3,0
218,small,0,1,5,0
219,hospital,0,3,8,1
220,larger,0,2,6,0
221,hospital,0,3,8,1
222,means,0,2,5,0
223,careful,0,3,7,1
224,follow,0,2,6,0
225,intuition,0,5,9,1
226,means,0,2,5,0
227,look,0,2,4,0
228,small,0,1,5,0
229,sample,0,2,6,0
230,might,0,1,5,0
231,true,0,2,4,0
232,representation,0,6,14,1
233,whole,0,2,5,0
234,data,0,2,4,0
235,place,0,2,5,0
236,data,0,2,4,0
237,make,0,2,4,0
238,big,0,1,3,0
239,difference,0,4,10,1
240,opposed,0,0,7,0
241,relying,0,2,7,0
242,intuition,0,5,9,1
243,predict,0,2,7,0
244,something,0,3,9,1
245,higher,0,2,6,0
246,number,0,2,6,0
247,people,0,3,6,1
248,involved,0,0,8,0
249,process,0,2,7,0
250,get,0,1,3,0
251,number,0,2,6,0
252,judgments,0,2,9,0
253,Higher,0,2,6,0
254,number,0,2,6,0
255,judgments,0,2,9,0
256,lead,1,2,4,0
257,higher,0,2,6,0
258,chance,0,2,6,0
259,coming,0,2,6,0
260,close,0,2,5,0
261,truth,0,1,5,0
262,idiosyncratic,0,5,13,1
263,errors,-1,2,6,0
264,based,0,0,5,0
265,condition,0,4,9,1
266,opinions,0,4,8,1
267,independent,0,4,11,1
268,case,0,2,4,0
269,would,0,2,5,0
270,equal,0,3,5,1
271,small,0,1,5,0
272,group,0,2,5,0
273,people,0,3,6,1
274,giving,0,2,6,0
275,judgments,0,2,9,0
276,data,0,2,4,0
277,analysis,0,3,8,1
278,helps,0,1,5,0
279,making,0,2,6,0
280,better,0,2,6,0
281,decisions,0,4,9,1
282,Hiring,0,2,6,0
283,right,0,1,5,0
284,people,0,3,6,1
285,also,0,2,4,0
286,effectively,1,4,11,1
287,done,0,2,4,0
288,Job,0,1,3,0
289,knowledge,0,3,9,1
290,tests,0,1,5,0
291,Cognitive,0,4,9,1
292,ability,0,3,7,1
293,tests,0,1,5,0
294,Structured,0,0,10,0
295,interviews,0,4,10,1
296,Personality,0,4,11,1
297,tests,0,1,5,0
298,personality,0,4,11,1
299,test,0,1,4,0
300,specially,0,3,9,1
301,used,0,0,4,0
302,retail,0,3,6,1
303,sector,0,2,6,0
304,skill,1,1,5,0
305,set,0,1,3,0
306,requirement,0,5,11,1
307,varies,0,0,6,0
308,based,0,0,5,0
309,market,0,2,6,0
310,type,0,1,4,0
311,Recently,0,2,8,0
312,India,0,3,5,1
313,largest,0,2,7,0
314,power,0,2,5,0
315,producer,0,3,8,1
316,NTPC,0,0,4,0
317,rolled,0,0,6,0
318,basket,0,2,6,0
319,initiatives,0,0,11,0
320,employees,0,0,9,0
321,seeks,0,2,5,0
322,reposition,0,5,10,1
323,HR,0,0,2,0
324,function,0,3,8,1
325,align,0,2,5,0
326,fast,0,1,4,0
327,changing,0,2,8,0
328,environment,0,4,11,1
329,Also,0,2,4,0
330,according,0,3,9,1
331,recent,0,2,6,0
332,study,0,1,5,0
333,professional,0,5,12,1
334,network,0,2,7,0
335,LinkedIn,0,3,8,1
336,Analytics,0,3,9,1
337,specialists,0,4,11,1
338,high,0,1,4,0
339,demand,0,2,6,0
340,HR,0,0,2,0
341,roles,0,0,5,0
342,increasing,0,4,10,1
343,number,0,2,6,0
344,companies,0,0,9,0
345,turning,0,2,7,0
346,analytics,0,3,9,1
347,past,0,1,4,0
348,5,0,0,1,0
349,years,0,2,5,0
350,things,0,1,6,0
351,indicate,0,4,8,1
352,people,0,3,6,1
353,analytics,0,3,9,1
354,useful,0,3,6,1
355,tool,0,2,4,0
356,drive,0,2,5,0
357,business,0,3,8,1
358,performance,0,4,11,1
359,Blackcoffer,0,3,11,1
360,Insights,0,2,8,0
361,5,0,0,1,0
362,0,0,0,1,0
363,Kashni,0,2,6,0
364,Shah,0,1,4,0
365,IES,0,0,3,0
366,Management,0,4,10,1
367,College,0,3,7,1
368,Research,0,3,8,1
369,Center,0,2,6,0
