,Token,Score,Syllable_Count,Word_length,IsComplex
0,ANALYTICS,0,3,9,1
1,OUTSOURCING,0,5,11,1
2,STRATEGIC,0,3,9,1
3,PARTNERSHIP,0,3,11,1
4,SIMPLE,0,2,6,0
5,HAND,0,1,4,0
6,DUTIES,0,0,6,0
7,THIRD,0,1,5,0
8,PARTY,0,1,5,0
9,GETTING,0,2,7,0
10,RIGHT,0,1,5,0
11,REQUIRES,0,0,8,0
12,SMART,0,1,5,0
13,PREPARATION,0,5,11,1
14,Implemented,0,0,11,0
15,correctly,1,2,9,0
16,strategic,0,3,9,1
17,partnerships,0,3,12,1
18,happy,1,1,5,0
19,collaboration,0,6,13,1
20,expectations,0,5,12,1
21,delivery,0,3,8,1
22,results,0,2,7,0
23,clear,1,2,5,0
24,start,0,1,5,0
25,bringing,0,2,8,0
26,outside,0,4,7,1
27,minds,0,1,5,0
28,possible,0,3,8,1
29,innovate,0,4,8,1
30,drive,0,2,5,0
31,product,0,2,7,0
32,levels,0,2,6,0
33,beyond,0,2,6,0
34,internal,0,3,8,1
35,team,0,2,4,0
36,might,0,1,5,0
37,accomplished,1,0,12,0
38,New,0,1,3,0
39,ideas,0,3,5,1
40,come,0,2,4,0
41,anywhere,0,3,8,1
42,proper,1,2,6,0
43,planning,0,2,8,0
44,phase,0,2,5,0
45,important,1,3,9,1
46,thinking,0,2,8,0
47,ahead,0,3,5,1
48,also,0,2,4,0
49,page,0,2,4,0
50,Analytics,0,3,9,1
51,Outsourcing,0,5,11,1
52,provider,0,3,8,1
53,every,0,2,5,0
54,day,0,1,3,0
55,benefiting,0,4,10,1
56,expertise,0,4,9,1
57,opposed,0,0,7,0
58,viewing,0,3,7,1
59,Analytics,0,3,9,1
60,Outsourcing,0,5,11,1
61,merely,0,2,6,0
62,easy,1,2,4,0
63,offload,0,3,7,1
64,commodity,0,3,9,1
65,work,1,1,4,0
66,need,0,0,4,0
67,select,0,2,6,0
68,proper,1,2,6,0
69,engagement,0,4,10,1
70,model,0,2,5,0
71,transparent,1,3,11,1
72,parties,0,0,7,0
73,provides,0,0,8,0
74,strong,0,1,6,0
75,governance,0,4,10,1
76,aspects,0,2,7,0
77,relationship,0,5,12,1
78,accomplish,1,3,10,1
79,useful,0,3,6,1
80,understand,0,3,10,1
81,various,0,4,7,1
82,Analytics,0,3,9,1
83,Outsourcing,0,5,11,1
84,engagement,0,4,10,1
85,models,0,2,6,0
86,apply,0,1,5,0
87,situation,0,5,9,1
88,case,0,2,4,0
89,discussed,0,0,9,0
90,software,0,3,8,1
91,development,0,4,11,1
92,engagement,0,4,10,1
93,model,0,2,5,0
94,framework,0,3,9,1
95,defines,0,0,7,0
96,collaboration,0,6,13,1
97,client,0,2,6,0
98,Analytics,0,3,9,1
99,Outsourcing,0,5,11,1
100,vendor,0,2,6,0
101,determines,0,0,10,0
102,level,0,2,5,0
103,control,0,2,7,0
104,responsibility,0,5,14,1
105,well,0,1,4,0
106,provides,0,0,8,0
107,base,0,2,4,0
108,relationship,0,5,12,1
109,development,0,4,11,1
110,best,0,1,4,0
111,universal,0,4,9,1
112,model,0,2,5,0
113,match,0,1,5,0
114,every,0,2,5,0
115,company,0,2,7,0
116,needs,0,2,5,0
117,select,0,2,6,0
118,engagement,0,4,10,1
119,model,0,2,5,0
120,works,1,1,5,0
121,business,0,3,8,1
122,brief,0,2,5,0
123,overview,0,4,8,1
124,popular,1,3,7,1
125,models,0,2,6,0
126,grouped,0,0,7,0
127,Tactical,0,3,8,1
128,Strategic,0,3,9,1
129,engagements,0,4,11,1
130,Tactical,0,3,8,1
131,Engagement,0,4,10,1
132,Models,0,2,6,0
133,Staff,0,1,5,0
134,augmentation,0,6,12,1
135,simplest,1,2,8,0
136,model,0,2,5,0
137,approach,0,3,8,1
138,allows,0,2,6,0
139,companies,0,0,9,0
140,extend,0,2,6,0
141,existing,0,3,8,1
142,house,0,3,5,1
143,staff,0,1,5,0
144,outsourced,0,0,10,0
145,workers,0,2,7,0
146,typical,0,2,7,0
147,client,0,2,6,0
148,business,0,3,8,1
149,driver,0,2,6,0
150,model,0,2,5,0
151,cost,0,1,4,0
152,reduction,0,4,9,1
153,work,1,1,4,0
154,fine,0,2,4,0
155,short,0,1,5,0
156,term,0,1,4,0
157,basis,0,2,5,0
158,although,0,3,8,1
159,requires,0,0,8,0
160,high,0,1,4,0
161,client,0,2,6,0
162,involvement,0,4,11,1
163,supervise,0,4,9,1
164,augmented,0,0,9,0
165,staff,0,1,5,0
166,means,0,2,5,0
167,Project,0,2,7,0
168,Management,0,4,10,1
169,Technical,0,3,9,1
170,Leadership,0,4,10,1
171,remain,0,3,6,1
172,client,0,2,6,0
173,side,0,2,4,0
174,routine,0,4,7,1
175,development,0,4,11,1
176,testing,0,2,7,0
177,example,0,3,7,1
178,augmented,0,0,9,0
179,offshore,0,3,8,1
180,nearshore,0,4,9,1
181,resources,0,0,9,0
182,provided,0,0,8,0
183,Analytics,0,3,9,1
184,Outsourcing,0,5,11,1
185,vendor,0,2,6,0
186,need,0,0,4,0
187,argue,0,3,5,1
188,level,0,2,5,0
189,innovation,1,5,10,1
190,outsourced,0,0,10,0
191,vendors,0,2,7,0
192,model,0,2,5,0
193,quite,0,3,5,1
194,low,0,1,3,0
195,cases,0,0,5,0
196,fact,0,1,4,0
197,less,0,1,4,0
198,span,0,1,4,0
199,responsibility,0,5,14,1
200,fewer,0,2,5,0
201,drivers,0,2,7,0
202,innovate,0,4,8,1
203,exist,0,2,5,0
204,Staff,0,1,5,0
205,Augmentation,0,6,12,1
206,model,0,2,5,0
207,span,0,1,4,0
208,responsibility,0,5,14,1
209,usually,0,3,7,1
210,quite,0,3,5,1
211,narrow,0,2,6,0
212,include,0,3,7,1
213,technical,0,3,9,1
214,implementation,0,6,14,1
215,tasks,0,1,5,0
216,well,0,1,4,0
217,prototyping,0,3,11,1
218,product,0,2,7,0
219,vision,0,3,6,1
220,decision,0,4,8,1
221,scope,0,2,5,0
222,augmented,0,0,9,0
223,team,0,2,4,0
224,members,0,2,7,0
