,Token,Score,Syllable_Count,Word_length,IsComplex
0,Alibaba,0,4,7,1
1,Ping,0,1,4,0
2,Google,0,3,6,1
3,Ford,0,1,4,0
4,companies,0,0,9,0
5,around,0,3,6,1
6,globe,0,2,5,0
7,telling,0,2,7,0
8,staff,0,1,5,0
9,figure,0,3,6,1
10,directly,0,2,8,0
11,home,0,2,4,0
12,bid,0,1,3,0
13,stem,0,1,4,0
14,spread,0,2,6,0
15,COVID,0,2,5,0
16,19,0,0,2,0
17,remote,0,3,6,1
18,functioning,0,4,11,1
19,scale,0,2,5,0
20,unprecedented,0,0,13,0
21,leave,0,3,5,1
22,long,0,1,4,0
23,lasting,0,2,7,0
24,impression,0,4,10,1
25,people,0,3,6,1
26,live,0,2,4,0
27,work,1,1,4,0
28,several,0,3,7,1
29,years,0,2,5,0
30,return,0,2,6,0
31,China,0,2,5,0
32,felt,0,1,4,0
33,primary,0,2,7,0
34,impact,0,2,6,0
35,pandemic,0,3,8,1
36,early,0,2,5,0
37,mover,0,2,5,0
38,space,0,2,5,0
39,home,0,2,4,0
40,number,0,2,6,0
41,world,0,1,5,0
42,largest,0,2,7,0
43,firms,0,1,5,0
44,offers,0,2,6,0
45,lessons,0,2,7,0
46,people,0,3,6,1
47,commencing,0,3,10,1
48,embrace,0,3,7,1
49,shift,0,1,5,0
50,Working,0,2,7,0
51,home,0,2,4,0
52,skyrocketed,0,0,11,0
53,China,0,2,5,0
54,within,0,2,6,0
55,wake,0,2,4,0
56,COVID,0,2,5,0
57,19,0,0,2,0
58,crisis,-1,2,6,0
59,companies,0,0,9,0
60,told,0,1,4,0
61,employees,0,0,9,0
62,remain,0,3,6,1
63,home,0,2,4,0
64,Around,0,3,6,1
65,200,0,0,3,0
66,million,0,3,7,1
67,people,0,3,6,1
68,working,0,2,7,0
69,remotely,0,3,8,1
70,tip,0,1,3,0
71,Chinese,0,3,7,1
72,New,0,1,3,0
73,Year,0,2,4,0
74,holiday,0,3,7,1
75,arrangement,0,4,11,1
76,benefits,1,3,8,1
77,like,0,2,4,0
78,avoiding,0,4,8,1
79,long,0,1,4,0
80,commutes,0,0,8,0
81,employees,0,0,9,0
82,firms,0,1,5,0
83,found,0,2,5,0
84,challenging,-1,3,11,1
85,One,0,2,3,0
86,employee,0,4,8,1
87,web,0,1,3,0
88,company,0,2,7,0
89,quipped,0,0,7,0
90,workday,0,2,7,0
91,changed,0,0,7,0
92,996,0,0,3,0
93,007,0,0,3,0
94,meaning,0,3,7,1
95,nine,0,2,4,0
96,6,0,0,1,0
97,days,0,1,4,0
98,every,0,2,5,0
99,week,0,2,4,0
100,time,0,2,4,0
101,private,0,3,7,1
102,front,0,1,5,0
103,employees,0,0,9,0
104,found,0,2,5,0
105,difficult,-1,3,9,1
106,manage,0,3,6,1
107,kids,0,1,4,0
108,home,0,2,4,0
109,schooling,0,3,9,1
110,video,0,3,5,1
111,conference,0,4,10,1
112,coordinating,0,5,12,1
113,remote,0,3,6,1
114,colleagues,0,0,10,0
115,organization,0,6,12,1
116,level,0,2,5,0
117,felt,0,1,4,0
118,productivity,0,4,12,1
119,rapidly,0,2,7,0
120,tailed,0,0,6,0
121,managed,0,0,7,0
122,properly,1,2,8,0
123,done,0,2,4,0
124,right,0,1,5,0
125,remote,0,3,6,1
126,working,0,2,7,0
127,boost,1,2,5,0
128,productivity,0,4,12,1
129,morale,0,3,6,1
130,done,0,2,4,0
131,badly,-1,1,5,0
132,breed,0,0,5,0
133,inefficiency,-1,5,12,1
134,damage,-1,3,6,1
135,work,1,1,4,0
136,relationships,0,5,13,1
137,demotivate,0,5,10,1
138,employees,0,0,9,0
139,kind,0,1,4,0
140,things,0,1,6,0
141,happening,0,3,9,1
142,due,0,2,3,0
143,impacts,0,2,7,0
144,COVID,0,2,5,0
145,19,0,0,2,0
146,world,0,1,5,0
147,work,1,1,4,0
148,learnings,0,3,9,1
149,China,0,2,5,0
150,applicable,0,4,10,1
151,around,0,3,6,1
152,world,0,1,5,0
153,looking,0,3,7,1
154,circumstances,0,0,13,0
155,Designing,0,3,9,1
156,effective,1,4,9,1
157,structure,0,3,9,1
158,due,0,2,3,0
159,impacts,0,2,7,0
160,COVID,0,2,5,0
161,19,0,0,2,0
162,world,0,1,5,0
163,work,1,1,4,0
164,Teams,0,2,5,0
165,whole,0,2,5,0
166,business,0,3,8,1
167,units,0,2,5,0
168,working,0,2,7,0
169,remotely,0,3,8,1
170,quickly,0,2,7,0
171,end,0,1,3,0
172,confusion,-1,4,9,1
173,scarcity,-1,2,8,0
174,clarity,1,2,7,0
175,isolated,-1,0,8,0
176,ends,0,1,4,0
177,uncertainty,0,4,11,1
178,speak,0,2,5,0
179,specific,0,3,8,1
180,issues,-1,0,6,0
181,approach,0,3,8,1
182,resulting,0,3,9,1
183,hold,0,1,4,0
184,ups,0,1,3,0
185,delays,-1,2,6,0
186,establishing,0,4,12,1
187,structure,0,3,9,1
188,architecture,0,5,12,1
189,deciding,0,3,8,1
190,effective,1,4,9,1
191,communication,0,6,13,1
192,vital,0,2,5,0
193,smaller,0,2,7,0
194,cross,0,1,5,0
195,functional,0,4,10,1
196,teams,0,2,5,0
197,helpful,1,2,7,0
198,transparent,1,3,11,1
199,mission,0,3,7,1
200,reporting,0,3,9,1
201,line,0,2,4,0
202,directions,0,4,10,1
203,tasks,0,1,5,0
204,easy,1,2,4,0
205,implement,0,3,9,1
206,also,0,2,4,0
207,simplifies,1,0,10,0
208,onboarding,0,4,10,1
209,hires,0,0,5,0
210,integrate,0,4,9,1
211,faster,1,2,6,0
212,tight,0,1,5,0
213,knit,0,1,4,0
214,group,0,2,5,0
215,time,0,2,4,0
216,broad,0,2,5,0
217,sweep,0,2,5,0
218,organization,0,6,12,1
219,visible,0,3,7,1
220,easy,1,2,4,0
221,feel,0,2,4,0
222,fewer,0,2,5,0
223,team,0,2,4,0
224,longer,0,2,6,0
225,urge,0,2,4,0
226,understand,0,3,10,1
227,another,0,3,7,1
228,build,0,2,5,0
229,trust,1,1,5,0
230,grow,0,1,4,0
231,organically,0,4,11,1
232,within,0,2,6,0
233,office,0,3,6,1
234,Ping,0,1,4,0
235,Insurance,0,4,9,1
236,workers,0,2,7,0
237,typically,0,2,9,0
238,grouped,0,0,7,0
239,project,0,2,7,0
240,teams,0,2,5,0
241,30,0,0,2,0
242,members,0,2,7,0
243,larger,0,2,6,0
244,business,0,3,8,1
245,units,0,2,5,0
246,divided,0,0,7,0
247,assist,0,2,6,0
248,stay,0,1,4,0
249,agile,1,3,5,1
250,Strong,0,1,6,0
251,company,0,2,7,0
252,wide,0,2,4,0
253,foundations,0,5,11,1
254,underpin,0,3,8,1
255,like,0,2,4,0
256,typical,0,2,7,0
257,purpose,0,3,7,1
258,unified,0,0,7,0
259,goals,0,2,5,0
260,Providing,0,3,9,1
261,clarity,1,2,7,0
262,decisions,0,4,9,1
263,escalate,0,4,8,1
264,tackled,0,0,7,0
265,team,0,2,4,0
266,level,0,2,5,0
267,helps,0,1,5,0
268,drive,0,2,5,0
269,progress,1,2,8,0
270,mitigate,0,4,8,1
271,consequences,0,0,12,0
272,closed,0,0,6,0
273,retail,0,3,6,1
274,stores,0,0,6,0
275,leading,1,3,7,1
276,fashion,0,3,7,1
277,company,0,2,7,0
278,founded,0,0,7,0
279,technique,0,4,9,1
280,room,0,2,4,0
281,redeployed,0,0,10,0
282,staff,0,1,5,0
283,cross,0,1,5,0
284,functional,0,4,10,1
285,squads,0,2,6,0
286,support,1,2,7,0
287,front,0,1,5,0
288,line,0,2,4,0
289,designed,0,0,8,0
290,standard,0,2,8,0
291,ways,0,1,4,0
292,live,0,2,4,0
293,broadcasting,0,4,12,1
294,established,0,0,11,0
295,internal,0,3,8,1
296,practices,0,0,9,0
297,encourage,1,5,9,1
298,front,0,1,5,0
299,line,0,2,4,0
300,staff,0,1,5,0
301,use,0,2,3,0
302,retail,0,3,6,1
303,tools,0,2,5,0
304,drive,0,2,5,0
305,sales,0,0,5,0
306,remotely,0,3,8,1
307,lesson,0,2,6,0
308,putting,0,2,7,0
309,small,0,1,5,0
310,cross,0,1,5,0
311,functional,0,4,10,1
312,teams,0,2,5,0
313,clear,1,2,5,0
314,objectives,0,0,10,0
315,typical,0,2,7,0
316,purpose,0,3,7,1
317,keeps,0,2,5,0
318,everyone,0,4,8,1
319,identical,0,4,9,1
320,strategic,0,3,9,1
321,course,0,3,6,1
322,Leading,1,3,7,1
323,afar,0,2,4,0
324,due,0,2,3,0
325,impacts,0,2,7,0
326,COVID,0,2,5,0
327,19,0,0,2,0
328,world,0,1,5,0
329,work,1,1,4,0
330,Managing,0,3,8,1
331,people,0,3,6,1
332,foremost,1,3,8,1
333,difficult,-1,3,9,1
334,elements,0,3,8,1
335,remote,0,3,6,1
336,working,0,2,7,0
337,least,0,2,5,0
338,everyone,0,4,8,1
339,respond,0,2,7,0
340,differently,0,3,11,1
341,cultural,0,3,8,1
342,shift,0,1,5,0
343,challenges,0,0,10,0
344,home,0,2,4,0
345,working,0,2,7,0
346,environment,0,4,11,1
347,Leaders,0,3,7,1
348,energize,1,4,8,1
349,entire,0,3,6,1
350,company,0,2,7,0
351,setting,0,2,7,0
352,transparent,1,3,11,1
353,direction,0,4,9,1
354,communicating,0,5,13,1
355,effectively,1,4,11,1
356,Offering,0,3,8,1
357,powerful,1,3,8,1
358,vision,0,3,6,1
359,sensible,0,3,8,1
360,outlook,0,4,7,1
361,strong,0,1,6,0
362,effect,0,2,6,0
363,motivation,0,5,10,1
364,across,0,2,6,0
365,organization,0,6,12,1
366,essential,0,4,9,1
367,foster,0,2,6,0
368,outcome,0,4,7,1
369,driven,0,2,6,0
370,culture,0,3,7,1
371,empowers,0,3,8,1
372,holds,0,1,5,0
373,teams,0,2,5,0
374,answerable,0,4,10,1
375,getting,0,2,7,0
376,things,0,1,6,0
377,done,0,2,4,0
378,encouraging,1,5,11,1
379,open,0,2,4,0
380,honest,1,2,6,0
381,productive,1,4,10,1
382,communication,0,6,13,1
383,Empowering,0,4,10,1
384,team,0,2,4,0
385,pays,0,1,4,0
386,dividends,0,3,9,1
387,WeSure,0,3,6,1
388,part,0,1,4,0
389,leading,1,3,7,1
390,internet,0,3,8,1
391,company,0,2,7,0
392,Tencent,0,2,7,0
393,assembled,0,0,9,0
394,COVID,0,2,5,0
395,19,0,0,2,0
396,response,0,3,8,1
397,team5,0,2,5,0
398,beginning,0,3,9,1
399,year,0,2,4,0
400,supply,0,1,6,0
401,amount,0,3,6,1
402,freed,0,0,5,0
403,charge,0,2,6,0
404,front,0,1,5,0
405,line,0,2,4,0
406,medical,0,3,7,1
407,workers,0,2,7,0
408,Alan,0,2,4,0
409,Lau,0,2,3,0
410,CEO,0,2,3,0
411,WeSure,0,3,6,1
412,credited,0,0,8,0
413,team,0,2,4,0
414,saying,0,2,6,0
415,worked,1,0,6,0
416,nonstop,0,2,7,0
417,remote,0,3,6,1
418,locations,0,4,9,1
419,inactive,-1,4,8,1
420,Chinese,0,3,7,1
421,New,0,1,3,0
422,Year,0,2,4,0
423,break,-1,2,5,0
424,demonstrating,0,4,13,1
425,responsive,1,4,10,1
426,vision,0,3,6,1
427,managers,0,3,8,1
428,challenge,0,3,9,1
429,guide,0,3,5,1
430,inspire,1,3,7,1
431,direct,0,2,6,0
432,team,0,2,4,0
433,daily,0,2,5,0
434,course,0,3,6,1
435,labor,0,2,5,0
436,physically,0,2,10,0
437,remote,0,3,6,1
438,Upping,0,2,6,0
439,amount,0,3,6,1
440,interaction,0,5,11,1
441,even,0,2,4,0
442,work,1,1,4,0
443,well,0,1,4,0
444,One,0,2,3,0
445,chief,0,2,5,0
446,information,0,5,11,1
447,officer,0,3,7,1
448,responding,0,3,10,1
449,McKinsey,0,2,8,0
450,survey,0,2,6,0
451,said,0,2,4,0
452,texting,0,2,7,0
453,whole,0,2,5,0
454,company,0,2,7,0
455,regular,0,3,7,1
456,updates,0,0,7,0
457,human,0,2,5,0
458,communicating,0,5,13,1
459,official,0,4,8,1
460,corporate,0,4,9,1
461,channels,0,2,8,0
462,working,0,2,7,0
463,within,0,2,6,0
464,distributed,0,0,11,0
465,teams,0,2,5,0
466,e,0,1,1,0
467,commerce,0,3,8,1
468,giant,0,2,5,0
469,Alibaba,0,4,7,1
470,increases,0,0,9,0
471,frequency,0,3,9,1
472,one,0,2,3,0
473,one,0,2,3,0
474,communications,0,6,14,1
475,employees,0,0,9,0
476,weekly,0,2,6,0
477,basis,0,2,5,0
478,teams,0,2,5,0
479,members,0,2,7,0
480,submit,0,2,6,0
481,weekly,0,2,6,0
482,report,0,2,6,0
483,colleagues,0,0,10,0
484,complete,0,3,8,1
485,plans,0,1,5,0
486,week,0,2,4,0
487,ahead,0,3,5,1
488,Alibaba,0,4,7,1
489,productivity,0,4,12,1
490,app,0,1,3,0
491,DingTalk,0,2,8,0
492,Ding,-1,1,4,0
493,Ding,-1,1,4,0
494,features,0,0,8,0
495,inbuilt,0,3,7,1
496,facilitate,1,5,10,1
497,allowing,0,3,8,1
498,managers,0,3,8,1
499,send,0,1,4,0
500,voice,0,3,5,1
501,text,0,1,4,0
502,messages,0,0,8,0
503,teams,0,2,5,0
504,test,0,1,4,0
505,progress,1,2,8,0
506,lesson,0,2,6,0
507,Determining,0,4,11,1
508,communicate,0,5,11,1
509,simply,0,1,6,0
510,important,1,3,9,1
511,said,0,2,4,0
512,done,0,2,4,0
513,confidently,0,3,11,1
514,consistently,1,3,12,1
515,reliably,1,3,8,1
516,Instilling,0,3,10,1
517,caring,0,2,6,0
518,culture,0,3,7,1
519,companies,0,0,9,0
520,transition,0,4,10,1
521,normal,0,2,6,0
522,important,1,3,9,1
523,acknowledge,0,4,11,1
524,employees,0,0,9,0
525,also,0,2,4,0
526,facing,0,2,6,0
527,pressures,0,0,9,0
528,reception,0,4,9,1
529,including,0,3,9,1
530,caring,0,2,6,0
531,children,0,2,8,0
532,schools,0,2,7,0
533,shut,0,1,4,0
534,resulting,0,3,9,1
535,feelings,0,3,8,1
536,isolation,-1,5,9,1
537,insecurity,-1,4,10,1
538,Business,0,3,8,1
539,leaders,0,3,7,1
540,must,0,1,4,0
541,respect,1,2,7,0
542,address,0,2,7,0
543,additional,0,5,10,1
544,needs,0,2,5,0
545,Empathy,1,2,7,0
546,crucial,0,3,7,1
547,tool,0,2,4,0
548,offering,0,3,8,1
549,attach,0,2,6,0
550,promote,0,3,7,1
551,inclusiveness,0,5,13,1
552,make,0,2,4,0
553,community,0,3,9,1
554,barren,-1,2,6,0
555,physical,0,2,8,0
556,interaction,0,5,11,1
557,Increasing,0,4,10,1
558,social,0,3,6,1
559,interactions,0,5,12,1
560,within,0,2,6,0
561,team,0,2,4,0
562,particularly,0,4,12,1
563,one,0,2,3,0
564,one,0,2,3,0
565,catch,0,1,5,0
566,guards,0,2,6,0
567,feelings,0,3,8,1
568,isolation,-1,5,9,1
569,demoralization,0,7,14,1
570,creates,0,0,7,0
571,space,0,2,5,0
572,people,0,3,6,1
573,talk,0,1,4,0
574,share,0,2,5,0
575,thoughts,0,2,8,0
576,creating,0,3,8,1
577,psychological,0,4,13,1
578,safety,0,2,6,0
579,colleagues,0,0,10,0
580,inclusive,0,4,9,1
581,deciding,0,3,8,1
582,offering,0,3,8,1
583,perspective,0,4,11,1
584,challenging,-1,3,11,1
585,moments,0,2,7,0
586,managers,0,3,8,1
587,stay,0,1,4,0
588,closer,0,2,6,0
589,occurring,0,3,9,1
590,surface,0,3,7,1
591,issues,-1,0,6,0
592,help,0,1,4,0
593,teams,0,2,5,0
594,solve,0,2,5,0
595,problems,-1,2,8,0
596,effectively,1,4,11,1
597,similar,0,3,7,1
598,approach,0,3,8,1
599,important,1,3,9,1
600,coping,0,2,6,0
601,customers,0,3,9,1
602,clients,0,2,7,0
603,providing,0,3,9,1
604,valuable,1,4,8,1
605,stability,1,3,9,1
606,enabling,0,3,8,1
607,navigate,0,4,8,1
608,unknown,-1,2,7,0
609,waters,0,2,6,0
610,confidently,0,3,11,1
611,example,0,3,7,1
612,global,0,2,6,0
613,bank,0,1,4,0
614,asked,0,0,5,0
615,relationship,0,5,12,1
616,managers,0,3,8,1
617,attach,0,2,6,0
618,small,0,1,5,0
619,business,0,3,8,1
620,customers,0,3,9,1
621,WeChat,0,2,6,0
622,video,0,3,5,1
623,calls,0,1,5,0
624,know,0,1,4,0
625,situation,0,5,9,1
626,help,0,1,4,0
627,weather,0,3,7,1
628,crisis,-1,2,6,0
629,try,0,0,3,0
630,effectively,1,4,11,1
631,scale,0,2,5,0
632,managers,0,3,8,1
633,supported,1,0,9,0
634,dedicated,1,0,9,0
635,product,0,2,7,0
636,programs,0,2,8,0
637,online,0,3,6,1
638,articles,0,0,8,0
639,scripts,0,1,7,0
640,communicating,0,5,13,1
641,clients,0,2,7,0
642,internal,0,3,8,1
643,training,0,3,8,1
644,Inclusion,0,4,9,1
645,ultimate,0,4,8,1
646,show,0,1,4,0
647,empathy,1,2,7,0
648,Creating,0,3,8,1
649,outlets,0,3,7,1
650,sharing,0,2,7,0
651,practices,0,0,9,0
652,success,1,2,7,0
653,stories,0,0,7,0
654,challenges,0,0,10,0
655,water,0,2,5,0
656,cooler,0,3,6,1
657,chat,0,1,4,0
658,significant,1,4,11,1
659,making,0,2,6,0
660,person,0,2,6,0
661,connection,0,4,10,1
662,Giving,0,2,6,0
663,employees,0,0,9,0
664,space,0,2,5,0
665,pursue,0,3,6,1
666,personal,0,3,8,1
667,social,0,3,6,1
668,endeavors,0,4,9,1
669,providing,0,3,9,1
670,transparent,1,3,11,1
671,span,0,1,4,0
672,control,0,2,7,0
673,assigning,0,3,9,1
674,meaningful,1,4,10,1
675,tasks,0,1,5,0
676,also,0,2,4,0
677,spur,0,1,4,0
678,motivation,0,5,10,1
679,lesson,0,2,6,0
680,Connecting,0,3,10,1
681,private,0,3,7,1
682,level,0,2,5,0
683,instilling,0,3,10,1
684,empathy,1,2,7,0
685,within,0,2,6,0
686,culture,0,3,7,1
687,doubly,0,2,6,0
688,important,1,3,9,1
689,working,0,2,7,0
690,remotely,0,3,8,1
691,Finding,0,2,7,0
692,routine,0,4,7,1
693,Moving,0,2,6,0
694,remote,0,3,6,1
695,working,0,2,7,0
696,risks,-1,1,5,0
697,disrupting,0,3,10,1
698,office,0,3,6,1
699,based,0,0,5,0
700,flows,0,1,5,0
701,rhythms,0,0,7,0
702,easy,1,2,4,0
703,hit,0,1,3,0
704,incorrect,-1,3,9,1
705,note,0,2,4,0
706,miss,0,1,4,0
707,important,1,3,9,1
708,virtual,0,3,7,1
709,meetings,0,3,8,1
710,thanks,0,1,6,0
711,packed,0,0,6,0
712,schedules,0,0,9,0
713,Spend,0,1,5,0
714,time,0,2,4,0
715,along,0,2,5,0
716,team,0,2,4,0
717,addressing,0,3,10,1
718,nuts,0,1,4,0
719,bolts,0,1,5,0
720,work,1,1,4,0
721,together,0,3,8,1
722,Cover,0,2,5,0
723,daily,0,2,5,0
724,rhythm,0,0,6,0
725,individual,0,5,10,1
726,constraints,0,3,11,1
727,specific,0,3,8,1
728,norms,0,1,5,0
729,decide,0,3,6,1
730,anticipate,0,5,10,1
731,might,0,1,5,0
732,get,0,1,3,0
733,wrong,-1,1,5,0
734,mitigate,0,4,8,1
735,companies,0,0,9,0
736,plan,0,1,4,0
737,review,0,3,6,1
738,workflows,0,2,9,0
