,Token,Score,Syllable_Count,Word_length,IsComplex
0,Human,0,2,5,0
1,minds,0,1,5,0
2,fascination,1,5,11,1
3,carrying,0,2,8,0
4,potential,0,4,9,1
5,tinkering,0,3,9,1
6,nature,0,3,6,1
7,pixie,0,3,5,1
8,dust,-1,1,4,0
9,intelligence,1,5,12,1
10,creating,0,3,8,1
11,solving,0,2,7,0
12,mysteries,0,0,9,0
13,wonders,1,2,7,0
14,anything,0,2,8,0
15,admiration,1,5,10,1
16,However,0,3,7,1
17,matter,0,2,6,0
18,captivating,1,4,11,1
19,human,0,2,5,0
20,mind,0,1,4,0
21,could,0,2,5,0
22,sometimes,0,0,9,0
23,appalled,-1,0,8,0
24,could,0,2,5,0
25,hunger,0,2,6,0
26,maybe,0,2,5,0
27,desire,0,3,6,1
28,want,0,1,4,0
29,go,0,1,2,0
30,beyond,0,2,6,0
31,unravel,-1,3,7,1
32,limitations,-1,5,11,1
33,maybe,0,2,5,0
34,something,0,3,9,1
35,like,0,2,4,0
36,pure,1,2,4,0
37,greed,-1,0,5,0
38,Humans,0,2,6,0
39,never,0,2,5,0
40,stopped,0,0,7,0
41,always,0,2,6,0
42,keep,0,2,4,0
43,evolving,0,3,8,1
44,comes,0,0,5,0
45,intelligence,1,5,12,1
46,makes,0,0,5,0
47,supreme,1,3,7,1
48,Intelligence,1,5,12,1
49,calls,0,1,5,0
50,supremacy,1,3,9,1
51,evolve,0,3,6,1
52,something,0,3,9,1
53,opposed,0,0,7,0
54,challenge,0,3,9,1
55,human,0,2,5,0
56,minds,0,1,5,0
57,capabilities,0,0,12,0
58,making,0,2,6,0
59,question,0,4,8,1
60,importance,0,4,10,1
61,Artificial,0,5,10,1
62,Intelligence,1,5,12,1
63,came,0,2,4,0
64,revolution,0,5,10,1
65,havoc,-1,2,5,0
66,came,0,2,4,0
67,light,0,1,5,0
68,concept,0,2,7,0
69,making,0,2,6,0
70,machines,0,0,8,0
71,work,1,1,4,0
72,like,0,2,4,0
73,granting,0,2,8,0
74,machines,0,0,8,0
75,Intelligence,1,5,12,1
76,idea,0,3,4,1
77,making,0,2,6,0
78,machines,0,0,8,0
79,work,1,1,4,0
80,like,0,2,4,0
81,humans,0,2,6,0
82,came,0,2,4,0
83,back,0,1,4,0
84,19s,0,0,3,0
85,Back,0,1,4,0
86,people,0,3,6,1
87,believe,0,4,7,1
88,thing,0,1,5,0
89,making,0,2,6,0
90,non,0,1,3,0
91,living,0,2,6,0
92,thing,0,1,5,0
93,work,1,1,4,0
94,think,0,1,5,0
95,carry,0,1,5,0
96,tasks,0,1,5,0
97,mention,0,3,7,1
98,actually,0,3,8,1
99,surpass,1,2,7,0
100,humans,0,2,6,0
101,skills,0,1,6,0
102,facts,0,1,5,0
103,1997,0,0,4,0
104,greatest,1,3,8,1
105,chess,0,1,5,0
106,player,0,2,6,0
107,Garry,0,1,5,0
108,Kasparov,0,3,8,1
109,defeated,1,0,8,0
110,chess,0,1,5,0
111,game,0,2,4,0
112,machine,0,3,7,1
113,exactly,0,2,7,0
114,top,1,1,3,0
115,skilled,1,0,7,0
116,human,0,2,5,0
117,lost,-1,1,4,0
118,mere,0,2,4,0
119,machine,0,3,7,1
120,created,0,0,7,0
121,another,0,3,7,1
122,could,0,2,5,0
123,never,0,2,5,0
124,defeated,1,0,8,0
125,rule,0,2,4,0
126,power,0,2,5,0
127,betterment,0,3,10,1
128,skills,0,1,6,0
129,granted,0,0,7,0
130,supremacy,1,3,9,1
131,AI,0,2,2,0
132,Machines,0,0,8,0
133,tools,0,2,5,0
134,Equipment,0,4,9,1
135,Something,0,3,9,1
136,helped,1,0,6,0
137,unskilled,-1,0,9,0
138,person,0,2,6,0
139,mind,0,1,4,0
140,intelligence,1,5,12,1
141,creates,0,0,7,0
142,something,0,3,9,1
143,could,0,2,5,0
144,skilled,1,0,7,0
145,work,1,1,4,0
146,perfection,1,4,10,1
147,precision,0,4,9,1
148,Well,0,1,4,0
149,initially,0,4,9,1
150,however,0,3,7,1
151,time,0,2,4,0
152,passed,0,0,6,0
153,humans,0,2,6,0
154,got,0,1,3,0
155,drawn,0,1,5,0
156,puzzle,0,2,6,0
157,AI,0,2,2,0
158,lot,0,1,3,0
159,changed,0,0,7,0
160,Human,0,2,5,0
161,research,0,3,8,1
162,went,0,1,4,0
163,deeper,0,3,6,1
164,deeper,0,3,6,1
165,result,0,2,6,0
166,machines,0,0,8,0
167,evolved,0,0,7,0
168,present,0,2,7,0
169,AI,0,2,2,0
170,Machines,0,0,8,0
171,growing,0,2,7,0
172,field,0,2,5,0
173,develops,0,3,8,1
174,improves,1,0,8,0
175,become,0,3,6,1
176,part,0,1,4,0
177,industrial,0,4,10,1
178,revolution,0,5,10,1
179,industries,0,0,10,0
180,laborious,0,5,9,1
181,work,1,1,4,0
182,taken,0,2,5,0
183,care,0,2,4,0
184,humans,0,2,6,0
185,replaced,0,0,8,0
186,machines,0,0,8,0
187,Naturally,0,3,9,1
188,evolution,0,5,9,1
189,machines,0,0,8,0
190,precision,0,4,9,1
191,mass,0,1,4,0
192,productivity,0,4,12,1
193,quality,0,3,7,1
194,control,0,2,7,0
195,time,0,2,4,0
196,efficiencies,0,0,12,0
197,factors,0,2,7,0
198,made,0,2,4,0
199,better,0,2,6,0
200,choice,0,3,6,1
201,choice,0,3,6,1
202,humans,0,2,6,0
203,led,1,0,3,0
204,fear,-1,2,4,0
205,fear,-1,2,4,0
206,distant,0,2,7,0
207,future,0,3,6,1
208,future,0,3,6,1
209,maybe,0,2,5,0
210,machines,0,0,8,0
211,evolved,0,0,7,0
212,take,0,2,4,0
213,need,0,0,4,0
214,human,0,2,5,0
215,employee,0,4,8,1
216,leading,1,3,7,1
217,unemployment,0,4,12,1
218,population,0,5,10,1
219,increase,0,4,8,1
220,around,0,3,6,1
221,world,0,1,5,0
222,became,0,3,6,1
223,tech,0,1,4,0
224,threat,-1,2,6,0
225,labor,0,2,5,0
226,market,0,2,6,0
227,true,0,2,4,0
228,AI,0,2,2,0
229,really,0,2,6,0
230,oppose,-1,3,6,1
231,threat,-1,2,6,0
232,adapting,0,3,8,1
233,technology,0,3,10,1
234,make,0,2,4,0
235,millions,0,3,8,1
236,people,0,3,6,1
237,lose,-1,2,4,0
238,jobs,0,1,4,0
239,lead,1,2,4,0
240,mass,0,1,4,0
241,unemployment,0,4,12,1
242,machines,0,0,8,0
243,really,0,2,6,0
244,surpass,1,2,7,0
245,humans,0,2,6,0
246,creation,0,4,8,1
247,take,0,2,4,0
248,creator,0,3,7,1
249,matter,0,2,6,0
250,fearful,-1,3,7,1
251,future,0,3,6,1
252,AI,0,2,2,0
253,seem,0,2,4,0
254,reality,0,3,7,1
255,scary,-1,1,5,0
256,Truth,0,1,5,0
257,AI,0,2,2,0
258,present,0,2,7,0
259,reality,0,3,7,1
260,key,0,1,3,0
261,holds,0,1,5,0
262,power,0,2,5,0
263,unlock,0,2,6,0
264,whole,0,2,5,0
265,next,0,1,4,0
266,level,0,2,5,0
267,human,0,2,5,0
268,evolution,0,5,9,1
269,Technology,0,3,10,1
270,growing,0,2,7,0
271,time,0,2,4,0
272,technology,0,3,10,1
273,idea,0,3,4,1
274,today,0,2,5,0
275,idea,0,3,4,1
276,implemented,0,0,11,0
277,working,0,2,7,0
278,carried,0,0,7,0
279,Nobody,0,2,6,0
280,could,0,2,5,0
281,stop,0,1,4,0
282,advancement,0,4,11,1
283,growth,0,1,6,0
284,Artificial,0,5,10,1
285,Intelligence,1,5,12,1
286,wave,0,2,4,0
287,already,0,3,7,1
288,flowing,0,2,7,0
289,present,0,2,7,0
290,generation,0,5,10,1
291,generations,0,5,11,1
292,come,0,2,4,0
293,learn,0,2,5,0
294,learn,0,2,5,0
295,swim,0,1,4,0
296,flow,0,1,4,0
297,avoid,0,3,5,1
298,drowning,-1,2,8,0
299,Many,0,1,4,0
300,jobs,0,1,4,0
301,replaced,0,0,8,0
302,machines,0,0,8,0
303,AI,0,2,2,0
304,evolves,0,0,7,0
305,keep,0,2,4,0
306,challenging,-1,3,11,1
307,human,0,2,5,0
308,minds,0,1,5,0
309,skills,0,1,6,0
310,present,0,2,7,0
311,COVID,0,2,5,0
312,19,0,0,2,0
313,situation,0,5,9,1
314,contactless,0,3,11,1
315,cashiers,0,3,8,1
316,robots,0,2,6,0
317,delivering,0,4,10,1
318,packages,0,0,8,0
319,already,0,3,7,1
320,taken,0,2,5,0
321,usual,0,3,5,1
322,routine,0,4,7,1
323,tasks,0,1,5,0
324,jobs,0,1,4,0
325,Secretaries,0,0,11,0
326,Schedulers,0,3,10,1
327,book,0,2,4,0
328,keeper,0,3,6,1
329,risk,-1,1,4,0
330,Manufacturing,0,5,13,1
331,units,0,2,5,0
332,agriculture,0,5,11,1
333,food,0,2,4,0
334,services,0,0,8,0
335,retail,0,3,6,1
336,transportation,0,5,14,1
337,logistic,0,3,8,1
338,hospitality,0,4,11,1
339,part,0,1,4,0
340,AI,0,2,2,0
341,affected,0,0,8,0
342,automation,0,6,10,1
343,estimation,0,5,10,1
344,said,0,2,4,0
345,around,0,3,6,1
346,20,0,0,2,0
347,million,0,3,7,1
348,jobs,0,1,4,0
349,especially,0,4,10,1
350,including,0,3,9,1
351,manufacturing,0,5,13,1
352,lost,-1,1,4,0
353,robots,0,2,6,0
354,AI,0,2,2,0
355,robotics,0,3,8,1
356,3D,0,0,2,0
357,printing,0,2,8,0
358,genetics,0,3,8,1
359,make,0,2,4,0
360,even,0,2,4,0
361,architects,0,3,10,1
362,medical,0,3,7,1
363,docs,0,1,4,0
364,music,0,2,5,0
365,composers,0,3,9,1
