,Token,Score,Syllable_Count,Word_length,IsComplex
0,really,0,2,6,0
1,done,0,2,4,0
2,year,0,2,4,0
3,Like,0,2,4,0
4,insatiable,-1,5,10,1
5,glutton,0,2,7,0
6,law,0,1,3,0
7,averages,0,0,8,0
8,come,0,2,4,0
9,home,0,2,4,0
10,roost,0,2,5,0
11,taken,0,2,5,0
12,hint,0,1,4,0
13,1st,0,0,3,0
14,January,0,3,7,1
15,66,0,0,2,0
16,people,0,3,6,1
17,lost,-1,1,4,0
18,lives,0,0,5,0
19,Jakarta,0,3,7,1
20,floods,0,2,6,0
21,followed,0,0,8,0
22,like,0,2,4,0
23,highlights,0,2,10,0
24,reel,0,2,4,0
25,disaster,-1,3,8,1
26,movie,0,3,5,1
27,franchise,0,3,9,1
28,volcanic,0,3,8,1
29,eruption,0,4,8,1
30,Philippines,0,0,11,0
31,irrepressible,-1,5,13,1
32,bushfires,0,0,9,0
33,Australia,0,5,9,1
34,earthquakes,0,0,11,0
35,Russia,0,3,6,1
36,Iran,0,2,4,0
37,Turkey,0,2,6,0
38,India,0,3,5,1
39,China,0,2,5,0
40,speaking,0,3,8,1
41,China,0,2,5,0
42,2020,0,0,4,0
43,brought,0,2,7,0
44,home,0,2,4,0
45,fragile,-1,3,7,1
46,mortality,0,3,9,1
47,human,0,2,5,0
48,race,0,2,4,0
49,sharp,0,1,5,0
50,focus,0,2,5,0
51,global,0,2,6,0
52,Covid,0,2,5,0
53,19,0,0,2,0
54,deaths,0,2,6,0
55,stoutly,0,2,7,0
56,push,0,1,4,0
57,past,0,1,4,0
58,grim,0,1,4,0
59,1,0,0,1,0
60,million,0,3,7,1
61,marks,0,1,5,0
62,choice,0,3,6,1
63,question,0,4,8,1
64,place,0,2,5,0
65,universe,0,4,8,1
66,conquering,0,4,10,1
67,masters,0,2,7,0
68,domain,0,3,6,1
69,mere,0,2,4,0
70,tourists,0,3,8,1
71,ruthlessly,-1,2,10,0
72,apathetic,-1,4,9,1
73,ecosystem,0,3,9,1
74,human,0,2,5,0
75,race,0,2,4,0
76,ubiquitous,0,6,10,1
77,three,0,2,5,0
78,part,0,1,4,0
79,literary,0,3,8,1
80,arc,0,1,3,0
81,defines,0,0,7,0
82,every,0,2,5,0
83,story,0,1,5,0
84,every,0,2,5,0
85,life,0,2,4,0
86,every,0,2,5,0
87,civilization,0,6,12,1
88,ascent,0,2,6,0
89,apex,0,2,4,0
90,descent,0,2,7,0
91,Maybe,0,2,5,0
92,Michael,0,3,7,1
93,Jackson,0,2,7,0
94,unveiled,0,0,8,0
95,moonwalk,0,3,8,1
96,1983,0,0,4,0
97,Barack,0,2,6,0
98,Obama,0,3,5,1
99,stepped,0,0,7,0
100,White,0,2,5,0
101,House,0,3,5,1
102,President,0,3,9,1
103,United,0,0,6,0
104,States,0,0,6,0
105,2008,0,0,4,0
106,indeed,0,0,6,0
107,MS,0,0,2,0
108,Dhoni,0,2,5,0
109,lifted,0,0,6,0
110,Cricket,0,2,7,0
111,World,0,1,5,0
112,Cup,0,1,3,0
113,2011,0,0,4,0
114,peaked,0,0,6,0
115,species,0,0,7,0
116,everything,0,3,10,1
117,since,0,2,5,0
118,steady,1,2,6,0
119,unraveling,0,4,10,1
120,500,0,0,3,0
121,years,0,2,5,0
122,long,0,1,4,0
123,time,0,2,4,0
124,context,0,2,7,0
125,world,0,1,5,0
126,population,0,5,10,1
127,1500,0,0,4,0
128,AD,0,1,2,0
129,mere,0,2,4,0
130,461,0,0,3,0
131,million,0,3,7,1
132,16,0,0,2,0
133,fold,0,1,4,0
134,explosion,0,4,9,1
135,since,0,2,5,0
136,unprecedented,0,0,13,0
137,history,0,2,7,0
138,might,0,1,5,0
139,tip,0,1,3,0
140,iceberg,0,3,7,1
141,Though,0,2,6,0
142,fertility,0,3,9,1
143,rates,0,0,5,0
144,dropping,0,2,8,0
145,people,0,3,6,1
146,foregoing,0,4,9,1
147,chance,0,2,6,0
148,babies,0,0,6,0
149,might,0,1,5,0
150,crossed,0,0,7,0
151,threshold,0,2,9,0
152,population,0,5,10,1
153,projections,0,4,11,1
154,year,0,2,4,0
155,2050,0,0,4,0
156,9,0,0,1,0
157,8,0,0,1,0
158,billion,0,3,7,1
159,2100,0,0,4,0
160,whopping,0,2,8,0
161,11,0,0,2,0
162,2,0,0,1,0
163,billion1,0,3,8,1
164,Somewhere,0,4,9,1
165,Malthus,0,2,7,0
166,cackling,0,2,8,0
167,grave,0,2,5,0
168,year,0,2,4,0
169,2500,0,0,4,0
170,suddenly,0,2,8,0
171,seems,0,2,5,0
172,long,0,1,4,0
173,conversation,0,5,12,1
174,seems,0,2,5,0
175,ever,0,2,4,0
176,pertinent,0,3,9,1
177,today,0,2,5,0
