,Token,Score,Syllable_Count,Word_length,IsComplex
0,learned,0,0,7,0
1,mobile,0,3,6,1
2,apps,0,1,4,0
3,development,0,4,11,1
4,market,0,2,6,0
5,recently,0,2,8,0
6,becoming,0,3,8,1
7,harder,0,2,6,0
8,Android,0,3,7,1
9,iOS,0,2,3,0
10,developer,0,4,9,1
11,find,0,1,4,0
12,suitable,1,4,8,1
13,well,0,1,4,0
14,paying,0,2,6,0
15,job,0,1,3,0
16,market,0,2,6,0
17,major,0,2,5,0
18,reasons,0,3,7,1
19,include,0,3,7,1
20,increasing,0,4,10,1
21,supply,0,1,6,0
22,mobile,0,3,6,1
23,engineers,0,4,9,1
24,people,0,3,6,1
25,generally,0,3,9,1
26,stop,0,1,4,0
27,downloading,0,4,11,1
28,apps,0,1,4,0
29,article,0,3,7,1
30,go,0,1,2,0
31,detailed,0,0,8,0
32,explanation,0,5,11,1
33,recent,0,2,6,0
34,trend,0,1,5,0
35,mentioned,0,0,9,0
36,cents,0,1,5,0
37,mobile,0,3,6,1
38,engineers,0,4,9,1
39,could,0,2,5,0
40,prepare,0,3,7,1
41,themself,0,2,8,0
42,upcoming,0,3,8,1
43,challenge,0,3,9,1
44,future,0,3,6,1
45,mobile,0,3,6,1
46,apps,0,1,4,0
47,Coding,0,2,6,0
48,Bootcamps,0,3,9,1
49,Increase,0,4,8,1
50,Supply,0,1,6,0
51,Side,0,2,4,0
52,mobile,0,3,6,1
53,apps,0,1,4,0
54,Developers,0,4,10,1
55,Although,0,3,8,1
56,demand,0,2,6,0
57,mobile,0,3,6,1
58,developers,0,4,10,1
59,fallen,-1,2,6,0
60,sharply,-1,1,7,0
61,compared,0,0,8,0
62,previous,0,4,8,1
63,years,0,2,5,0
64,growth,0,1,6,0
65,rate,0,2,4,0
66,slowed,-1,0,6,0
67,hand,0,1,4,0
68,owing,0,2,5,0
69,great,1,2,5,0
70,number,0,2,6,0
71,coding,0,2,6,0
72,boot,0,2,4,0
73,camps,0,1,5,0
74,target,0,2,6,0
75,bring,0,1,5,0
76,mobile,0,3,6,1
77,frontend,0,2,8,0
78,engineers,0,4,9,1
79,great,1,2,5,0
80,number,0,2,6,0
81,developers,0,4,10,1
82,flooding,0,3,8,1
83,developer,0,4,9,1
84,job,0,1,3,0
85,market,0,2,6,0
86,supply,0,1,6,0
87,side,0,2,4,0
88,mobile,0,3,6,1
89,engineers,0,4,9,1
90,increased,0,0,9,0
91,rapidly,0,2,7,0
92,recent,0,2,6,0
93,years,0,2,5,0
94,raising,0,3,7,1
95,standards,0,2,9,0
96,qualified,1,0,9,0
97,mobile,0,3,6,1
98,engineers,0,4,9,1
99,days,0,1,4,0
100,mobile,0,3,6,1
101,engineer,0,4,8,1
102,easily,0,3,6,1
103,getting,0,2,7,0
104,10,0,0,2,0
105,job,0,1,3,0
106,offers,0,2,6,0
107,Recode,0,3,6,1
108,ran,0,1,3,0
109,article,0,3,7,1
110,mid,0,1,3,0
111,2016,0,0,4,0
112,begins,0,2,6,0
113,mobile,0,3,6,1
114,app,0,1,3,0
115,boom,1,2,4,0
116,kicked,0,0,6,0
117,July,0,1,4,0
118,2008,0,0,4,0
119,Apple,0,2,5,0
120,introduced,0,0,10,0
121,App,0,1,3,0
122,Store,0,2,5,0
123,According,0,3,9,1
124,data,0,2,4,0
125,gathered,0,0,8,0
126,analyzed,0,0,8,0
127,CakeResume,0,5,10,1
128,team,0,2,4,0
129,JavaScript,0,3,10,1
130,Python,0,1,6,0
131,demand,0,2,6,0
132,programming,0,3,11,1
133,languages,0,0,9,0
134,companies,0,0,9,0
135,post,0,1,4,0
136,product,0,2,7,0
137,development,0,4,11,1
138,jobs,0,1,4,0
139,CakeResume,0,5,10,1
140,together,0,3,8,1
141,taking,0,2,6,0
142,almost,0,2,6,0
143,half,0,1,4,0
144,job,0,1,3,0
145,opportunities,0,0,13,0
146,mobile,0,3,6,1
147,engineers,0,4,9,1
148,taking,0,2,6,0
149,merely,0,2,6,0
150,10,0,0,2,0
151,job,0,1,3,0
152,opportunities,0,0,13,0
153,learn,0,2,5,0
154,tech,0,1,4,0
155,salaries,0,0,8,0
156,Taiwan,0,3,6,1
157,Tech,0,1,4,0
158,Salaries,0,0,8,0
159,Taiwan,0,3,6,1
160,2019,0,0,4,0
161,Overview,0,4,8,1
162,People,0,3,6,1
163,Stop,0,1,4,0
164,Downloading,0,4,11,1
165,mobile,0,3,6,1
166,apps,0,1,4,0
167,App,0,1,3,0
168,usage,0,3,5,1
169,continues,0,0,9,0
170,grow,0,1,4,0
171,revenue,0,4,7,1
172,also,0,2,4,0
173,ascends,0,2,7,0
174,majority,0,3,8,1
175,consumers,0,3,9,1
176,actually,0,3,8,1
177,download,0,3,8,1
178,zero,0,2,4,0
179,apps,0,1,4,0
180,per,0,1,3,0
181,month,0,1,5,0
182,let,0,1,3,0
183,face,0,2,4,0
184,truth,0,1,5,0
185,born,0,1,4,0
186,raised,0,0,6,0
187,era,0,2,3,0
188,information,0,5,11,1
189,explosion,0,4,9,1
190,individuals,0,5,11,1
191,leisure,0,4,7,1
192,check,0,1,5,0
193,app,0,1,3,0
194,store,0,2,5,0
195,every,0,2,5,0
196,day,0,1,3,0
197,comes,0,0,5,0
198,choosing,0,3,8,1
199,App,0,1,3,0
200,download,0,3,8,1
