,Token,Score,Syllable_Count,Word_length,IsComplex
0,COVID,0,2,5,0
1,19,0,0,2,0
2,pandemic,0,3,8,1
3,31st,0,0,4,0
4,December,0,3,8,1
5,2019,0,0,4,0
6,novel,0,2,5,0
7,coronavirus,0,5,11,1
8,identified,0,0,10,0
9,Wuhan,0,2,5,0
10,China,0,2,5,0
11,spread,0,2,6,0
12,like,0,2,4,0
13,wildfire,0,3,8,1
14,world,0,1,5,0
15,11th,0,0,4,0
16,March,0,1,5,0
17,2020,0,0,4,0
18,declared,0,0,8,0
19,COVID,0,2,5,0
20,19,0,0,2,0
21,pandemic,0,3,8,1
22,issued,0,0,6,0
23,guidelines,0,0,10,0
24,like,0,2,4,0
25,Sanitizing,0,4,10,1
26,hands,0,1,5,0
27,regularly,0,3,9,1
28,wearing,0,3,7,1
29,masks,0,1,5,0
30,social,0,3,6,1
31,distancing,0,3,10,1
32,viable,0,3,6,1
33,methods,0,2,7,0
34,prevention,0,4,10,1
35,virus,-1,2,5,0
36,social,0,3,6,1
37,distancing,0,3,10,1
38,helpful,1,2,7,0
39,Social,0,3,6,1
40,distancing,0,3,10,1
41,means,0,2,5,0
42,staying,0,2,7,0
43,away,0,2,4,0
44,people,0,3,6,1
45,limit,-1,2,5,0
46,human,0,2,5,0
47,interaction,0,5,11,1
48,various,0,4,7,1
49,governments,0,3,11,1
50,world,0,1,5,0
51,chose,0,2,5,0
52,life,0,2,4,0
53,economy,0,3,7,1
54,ordered,0,0,7,0
55,complete,0,3,8,1
56,lockdown,0,2,8,0
57,countries,0,0,9,0
58,schools,0,2,7,0
59,colleges,0,0,8,0
60,offices,0,0,7,0
61,factories,0,0,9,0
62,public,0,2,6,0
63,places,0,0,6,0
64,etc,0,1,3,0
65,shutdown,0,2,8,0
66,immediate,0,5,9,1
67,effect,0,2,6,0
68,7th,0,0,3,0
69,June,0,2,4,0
70,2020,0,0,4,0
71,COVID,0,2,5,0
72,19,0,0,2,0
73,confirmed,0,0,9,0
74,cases,0,0,5,0
75,worldwide,0,3,9,1
76,69,0,0,2,0
77,94,0,0,2,0
78,605,0,0,3,0
79,4,0,0,1,0
80,02,0,0,2,0
81,453,0,0,3,0
82,deaths,0,2,6,0
83,34,0,0,2,0
84,20,0,0,2,0
85,048,0,0,3,0
86,recovered,0,0,9,0
87,USA,0,2,3,0
88,impose,-1,3,6,1
89,lockdown,0,2,8,0
90,early,0,2,5,0
91,stages,0,0,6,0
92,due,0,2,3,0
93,nearly,0,2,6,0
94,19,0,0,2,0
95,88,0,0,2,0
96,545,0,0,3,0
97,confirmed,0,0,9,0
98,cases,0,0,5,0
99,death,-1,2,5,0
100,rate,0,2,4,0
101,5,0,0,1,0
102,6,0,0,1,0
103,7th,0,0,3,0
104,June,0,2,4,0
105,2020,0,0,4,0
106,whereas,0,3,7,1
107,India,0,3,5,1
108,lockdown,0,2,8,0
109,imposed,0,0,7,0
110,stage,0,2,5,0
111,2,0,0,1,0
112,47,0,0,2,0
113,000,0,0,3,0
114,confirmed,0,0,9,0
115,cases,0,0,5,0
116,death,-1,2,5,0
117,rate,0,2,4,0
118,2,0,0,1,0
119,8,0,0,1,0
120,Impact,0,2,6,0
121,Environment,0,4,11,1
122,Rights,0,1,6,0
123,reserved,0,0,8,0
124,Statista,0,3,8,1
125,know,0,1,4,0
126,us,0,1,2,0
127,Humans,0,2,6,0
128,keep,0,2,4,0
129,exploiting,0,4,10,1
130,nature,0,3,6,1
131,nurtured,0,0,8,0
132,us,0,1,2,0
133,turn,0,1,4,0
134,blind,-1,1,5,0
135,eye,0,2,3,0
136,havoc,-1,2,5,0
137,misdeeds,0,3,8,1
138,Current,0,2,7,0
139,environmental,0,5,13,1
140,concerns,-1,2,8,0
141,like,0,2,4,0
142,depletion,0,4,9,1
143,ozone,0,3,5,1
144,layer,0,2,5,0
145,climate,0,3,7,1
146,change,0,2,6,0
147,soil,0,2,4,0
148,erosion,-1,4,7,1
149,air,0,2,3,0
150,pollution,0,4,9,1
151,water,0,2,5,0
152,pollution,0,4,9,1
153,soil,0,2,4,0
154,pollution,0,4,9,1
155,acid,0,2,4,0
156,rain,0,2,4,0
157,noise,-1,3,5,1
158,pollution,0,4,9,1
159,loss,-1,1,4,0
160,biodiversity,0,5,12,1
161,result,0,2,6,0
162,selfish,-1,2,7,0
163,never,0,2,5,0
164,ending,0,2,6,0
165,desires,0,0,7,0
166,development,0,4,11,1
167,cost,0,1,4,0
168,environment,0,4,11,1
169,lockdown,0,2,8,0
170,imposed,0,0,7,0
171,worldwide,0,3,9,1
172,lives,0,0,5,0
173,stopped,0,0,7,0
174,Air,0,2,3,0
175,traffic,0,2,7,0
176,due,0,2,3,0
177,flights,0,1,7,0
178,dropped,0,0,7,0
179,95,0,0,2,0
180,Cntraveller,0,3,11,1
181,Since,0,2,5,0
182,allowed,0,0,7,0
183,leave,0,3,5,1
184,homes,0,0,5,0
185,Carbon,0,2,6,0
186,footprint,0,3,9,1
187,per,0,1,3,0
188,person,0,2,6,0
189,dropped,0,0,7,0
190,significantly,0,4,13,1
191,Hindu,0,2,5,0
192,newspaper,0,3,9,1
193,reported,0,0,8,0
194,17,0,0,2,0
195,decline,-1,3,7,1
196,carbon,0,2,6,0
197,pollution,0,4,9,1
198,pandemic,0,3,8,1
199,peak,0,2,4,0
200,According,0,3,9,1
