,Token,Score,Syllable_Count,Word_length,IsComplex
0,Introduction,0,5,12,1
1,AI,0,2,2,0
2,rapidly,0,2,7,0
3,evolving,0,3,8,1
4,employment,0,3,10,1
5,sector,0,2,6,0
6,particularly,0,4,12,1
7,matters,0,2,7,0
8,involving,0,3,9,1
9,business,0,3,8,1
10,finance,0,3,7,1
11,Finance,0,3,7,1
12,management,0,4,10,1
13,economics,0,4,9,1
14,accounting,0,4,10,1
15,popular,1,3,7,1
16,university,0,4,10,1
17,courses,0,0,7,0
18,globally,0,2,8,0
19,particularly,0,4,12,1
20,graduate,0,4,8,1
21,level,0,2,5,0
22,due,0,2,3,0
23,high,0,1,4,0
24,employability,0,5,13,1
25,However,0,3,7,1
26,evolution,0,5,9,1
27,machinery,0,3,9,1
28,industries,0,0,10,0
29,changing,0,2,8,0
30,According,0,3,9,1
31,research,0,3,8,1
32,230,0,0,3,0
33,000,0,0,3,0
34,jobs,0,1,4,0
35,sectors,0,2,7,0
36,replaced,0,0,8,0
37,AI,0,2,2,0
38,agents,0,2,6,0
39,next,0,1,4,0
40,5,0,0,1,0
41,years,0,2,5,0
42,due,0,2,3,0
43,nature,0,3,6,1
44,work,1,1,4,0
45,employees,0,0,9,0
46,responsible,0,4,11,1
47,tasks,0,1,5,0
48,data,0,2,4,0
49,analysis,0,3,8,1
50,keeping,0,3,7,1
51,track,0,1,5,0
52,numerical,0,4,9,1
53,information,0,5,11,1
54,machines,0,0,8,0
55,excel,1,2,5,0
56,Large,0,2,5,0
57,complicated,-1,0,11,0
58,data,0,2,4,0
59,sets,0,1,4,0
60,analyzed,0,0,8,0
61,faster,1,2,6,0
62,efficiently,1,4,11,1
63,AI,0,2,2,0
64,powered,0,0,7,0
65,computers,0,3,9,1
66,people,0,3,6,1
67,Algorithmic,0,4,11,1
68,trading,0,2,7,0
69,procedures,0,0,10,0
70,produce,0,3,7,1
71,automated,0,0,9,0
72,deals,0,2,5,0
73,less,0,1,4,0
74,likely,0,2,6,0
75,produced,0,0,8,0
76,without,0,3,7,1
77,minute,0,3,6,1
78,errors,-1,2,6,0
79,undertaken,0,4,10,1
80,humans,0,2,6,0
81,matters,0,2,7,0
82,involving,0,3,9,1
83,industrial,0,4,10,1
84,work,1,1,4,0
85,subsection,0,4,10,1
86,artificial,0,5,10,1
87,intelligence,1,5,12,1
88,used,0,0,4,0
89,namely,0,2,6,0
90,machine,0,3,7,1
91,learning,0,3,8,1
92,Machine,0,3,7,1
93,learning,0,3,8,1
94,term,0,1,4,0
95,used,0,0,4,0
96,application,0,5,11,1
97,artificial,0,5,10,1
98,intelligence,1,5,12,1
99,AI,0,2,2,0
100,systems,0,1,7,0
101,involves,0,0,8,0
102,assimilating,0,5,12,1
103,processing,0,3,10,1
104,information,0,5,11,1
105,gaining,1,3,7,1
106,experience,0,5,10,1
