,Token,Score,Syllable_Count,Word_length,IsComplex
0,big,0,1,3,0
1,data,0,2,4,0
2,industry,0,2,8,0
3,grown,0,1,5,0
4,incredible,1,4,10,1
5,rate,0,2,4,0
6,businesses,0,0,10,0
7,realize,0,4,7,1
8,importance,0,4,10,1
9,insightful,1,3,10,1
10,data,0,2,4,0
11,analysis,0,3,8,1
12,compare,0,3,7,1
13,big,0,1,3,0
14,data,0,2,4,0
15,corresponds,0,3,11,1
16,artificial,0,5,10,1
17,intelligence,1,5,12,1
18,similarities,0,0,12,0
19,differences,0,0,11,0
20,whether,0,2,7,0
21,better,0,2,6,0
22,combination,0,5,11,1
23,leads,1,2,5,0
24,results,0,2,7,0
25,beyond,0,2,6,0
26,traditional,0,5,11,1
27,human,0,2,5,0
28,capability,1,4,10,1
29,Artificial,0,5,10,1
30,Intelligence,1,5,12,1
31,Artificial,0,5,10,1
32,Intelligence,1,5,12,1
33,defined,0,0,7,0
34,ability,0,3,7,1
35,machine,0,3,7,1
36,apply,0,1,5,0
37,logic,0,2,5,0
38,reason,0,3,6,1
39,analyze,0,3,7,1
40,interpret,0,3,9,1
41,inputs,0,2,6,0
42,ultimately,0,4,10,1
43,make,0,2,4,0
44,decisions,0,4,9,1
45,recreation,0,5,10,1
46,human,0,2,5,0
47,intelligence,1,5,12,1
48,machines,0,0,8,0
49,numerous,0,4,8,1
50,real,0,2,4,0
51,world,0,1,5,0
52,applications,0,5,12,1
53,AI,0,2,2,0
54,systems,0,1,7,0
55,today,0,2,5,0
56,online,0,3,6,1
57,chatbots,0,2,8,0
58,Recommendation,1,6,14,1
59,engines,0,0,7,0
60,Speech,0,2,6,0
61,Recognition,0,5,11,1
62,Computer,0,3,8,1
63,vision,0,3,6,1
64,etc,0,1,3,0
65,AI,0,2,2,0
66,assistants,0,3,10,1
67,phones,0,0,6,0
68,like,0,2,4,0
69,Google,0,3,6,1
70,Assistant,0,3,9,1
71,Apple,0,2,5,0
72,Siri,0,2,4,0
73,Samsung,0,2,7,0
74,Bixby,0,1,5,0
75,Amazon,0,3,6,1
76,Alexa,0,3,5,1
77,applications,0,5,12,1
78,using,0,2,5,0
79,speech,0,2,6,0
80,recognition,0,5,11,1
81,systems,0,1,7,0
82,Online,0,3,6,1
83,retailers,0,4,9,1
84,using,0,2,5,0
85,recommendation,1,6,14,1
86,engines,0,0,7,0
