,Token,Score,Syllable_Count,Word_length,IsComplex
0,Mr,0,0,2,0
1,Sakamoto,0,4,8,1
2,bonsai,0,3,6,1
3,artist,0,2,6,0
4,lives,0,0,5,0
5,downtown,0,2,8,0
6,Kyoto,0,2,5,0
7,Japan,0,2,5,0
8,Bonsai,0,3,6,1
9,Japanese,0,4,8,1
10,art,0,1,3,0
11,form,0,1,4,0
12,cultivation,0,5,11,1
13,small,0,1,5,0
14,trees,0,0,5,0
15,small,0,1,5,0
16,medium,0,3,6,1
17,container,0,4,9,1
18,field,0,2,5,0
19,business,0,3,8,1
20,last,0,1,4,0
21,ten,0,1,3,0
22,years,0,2,5,0
23,loves,1,0,5,0
24,daily,0,2,5,0
25,basis,0,2,5,0
26,People,0,3,6,1
27,different,0,3,9,1
28,cities,0,0,6,0
29,Japan,0,2,5,0
30,come,0,2,4,0
31,buy,0,1,3,0
32,artwork,0,2,7,0
33,early,0,2,5,0
34,stage,0,2,5,0
35,business,0,3,8,1
36,another,0,3,7,1
37,regular,0,3,7,1
38,Bosai,0,3,5,1
39,artist,0,2,6,0
40,popularity,0,4,10,1
41,increased,0,0,9,0
42,stories,0,0,7,0
43,tells,0,1,5,0
44,every,0,2,5,0
45,art,0,1,3,0
46,selling,0,2,7,0
47,customer,0,3,8,1
48,immediately,0,5,11,1
49,loved,1,0,5,0
50,buying,0,2,6,0
51,Bonsai,0,3,6,1
52,art,0,1,3,0
53,loved,1,0,5,0
54,sell,0,1,4,0
55,customer,0,3,8,1
56,artwork,0,2,7,0
57,story,0,1,5,0
58,related,0,0,7,0
59,product,0,2,7,0
60,resurrects,0,3,10,1
61,presence,0,3,8,1
62,art,0,1,3,0
63,customers,0,3,9,1
64,Soon,0,2,4,0
65,enough,0,3,6,1
66,business,0,3,8,1
67,thrived,0,0,7,0
68,nowadays,0,3,8,1
69,always,0,2,6,0
70,busy,0,1,4,0
71,digital,0,3,7,1
72,revolution,0,5,10,1
73,although,0,3,8,1
74,sales,0,0,5,0
75,increased,0,0,9,0
76,happy,1,1,5,0
77,satisfied,1,0,9,0
78,Something,0,3,9,1
79,eating,0,3,6,1
80,mind,0,1,4,0
81,day,0,1,3,0
82,day,0,1,3,0
83,could,0,2,5,0
84,understand,0,3,10,1
85,reason,0,3,6,1
86,behind,0,2,6,0
87,remorse,-1,3,7,1
88,chatbot,0,2,7,0
89,awesome,1,4,7,1
90,invention,0,4,9,1
91,digital,0,3,7,1
92,revolution,0,5,10,1
93,real,0,2,4,0
94,life,0,2,4,0
95,embodiment,0,4,10,1
96,Customer,0,3,8,1
97,Engagement,0,4,10,1
98,Every,0,2,5,0
99,business,0,3,8,1
100,needs,0,2,5,0
101,feature,0,4,7,1
102,understatement,0,5,14,1
103,Customer,0,3,8,1
104,engagement,0,4,10,1
105,base,0,2,4,0
106,business,0,3,8,1
107,chatbot,0,2,7,0
108,exact,0,2,5,0
109,thing,0,1,5,0
110,digitally,0,3,9,1
111,helps,0,1,5,0
112,customers,0,3,9,1
113,answer,0,2,6,0
114,queries,0,0,7,0
115,tell,0,1,4,0
116,product,0,2,7,0
117,business,0,3,8,1
118,offer,0,2,5,0
119,fully,0,1,5,0
120,automated,0,0,9,0
121,vibrant,1,2,7,0
122,customizations,0,6,14,1
123,Mr,0,0,2,0
124,Sakamoto,0,4,8,1
125,running,0,2,7,0
126,business,0,3,8,1
127,last,0,1,4,0
128,fifteen,0,3,7,1
129,years,0,2,5,0
130,happy,1,1,5,0
131,past,0,1,4,0
132,couple,0,3,6,1
133,years,0,2,5,0
134,rationale,0,5,9,1
135,behind,0,2,6,0
136,happiness,1,3,9,1
137,chatbot,0,2,7,0
138,Though,0,2,6,0
139,website,0,3,7,1
140,app,0,1,3,0
141,sell,0,1,4,0
142,Bonsai,0,3,6,1
143,art,0,1,3,0
144,could,0,2,5,0
145,engage,0,3,6,1
146,customers,0,3,9,1
147,wanted,0,0,6,0
148,trained,0,0,7,0
149,employees,0,0,9,0
150,apprentices,0,0,11,0
151,providing,0,3,9,1
152,service,0,3,7,1
153,unsatisfied,0,0,11,0
154,chatbot,0,2,7,0
155,relives,0,0,7,0
156,sadness,-1,2,7,0
157,done,0,2,4,0
158,affordable,1,4,10,1
159,prices,0,0,6,0
160,time,0,2,4,0
161,Let,0,1,3,0
162,understand,0,3,10,1
163,Mr,0,0,2,0
164,Sakamoto,0,4,8,1
165,Mondai,0,3,6,1
166,Nai,0,2,3,0
167,perspective,0,4,11,1
168,chatbot,0,2,7,0
169,answer,0,2,6,0
170,problems,-1,2,8,0
171,Building,0,3,8,1
172,Trust,1,1,5,0
173,Customers,0,3,9,1
174,fundamental,0,4,11,1
175,root,0,2,4,0
176,cause,0,3,5,1
177,Mr,0,0,2,0
178,Sakamoto,0,4,8,1
179,implement,0,3,9,1
180,chatbot,0,2,7,0
181,place,0,2,5,0
182,stories,0,0,7,0
183,embedded,0,0,8,0
184,art,0,1,3,0
185,product,0,2,7,0
186,sells,0,1,5,0
187,needs,0,2,5,0
188,story,0,1,5,0
189,stories,0,0,7,0
190,told,0,1,4,0
191,customers,0,3,9,1
192,sharing,0,2,7,0
193,chatbot,0,2,7,0
194,building,0,3,8,1
195,trust,1,1,5,0
196,agree,0,3,5,1
197,statement,0,3,9,1
198,trust,1,1,5,0
199,impactful,0,3,9,1
200,aspect,0,2,6,0
201,maybe,0,2,5,0
202,aspects,0,2,7,0
203,relation,0,4,8,1
204,customer,0,3,8,1
205,business,0,3,8,1
206,owner,0,2,5,0
207,whether,0,2,7,0
208,business,0,3,8,1
209,small,0,1,5,0
210,medium,0,3,6,1
211,large,0,2,5,0
212,Target,0,2,6,0
213,Millennial,0,4,10,1
214,Customer,0,3,8,1
215,Millennials,0,4,11,1
216,word,0,1,4,0
217,introduced,0,0,10,0
218,1990,0,0,4,0
219,generation,0,5,10,1
220,stuck,-1,1,5,0
221,Gen,0,1,3,0
222,x,0,0,1,0
223,Gen,0,1,3,0
224,generation,0,5,10,1
225,people,0,3,6,1
226,accustomed,0,0,10,0
227,digitization,0,6,12,1
228,old,0,1,3,0
229,culture,0,3,7,1
230,targeted,0,0,8,0
231,audience,0,5,8,1
232,era,0,2,3,0
233,would,0,2,5,0
234,approachable,0,5,12,1
235,generation,0,5,10,1
236,chatbot,0,2,7,0
237,easy,1,2,4,0
238,less,0,1,4,0
239,time,0,2,4,0
240,consuming,0,3,9,1
241,use,0,2,3,0
242,Mr,0,0,2,0
243,Sakamoto,0,4,8,1
244,Gen,0,1,3,0
245,x,0,0,1,0
246,persons,0,2,7,0
247,business,0,3,8,1
248,millennial,0,4,10,1
249,easily,0,3,6,1
250,Better,0,2,6,0
251,Human,0,2,5,0
252,Interactions,0,5,12,1
253,Mr,0,0,2,0
254,Sakamoto,0,4,8,1
255,employees,0,0,9,0
256,apprentices,0,0,11,0
257,trained,0,0,7,0
258,per,0,1,3,0
259,needs,0,2,5,0
260,limit,-1,2,5,0
261,deliver,0,3,7,1
262,exact,0,2,5,0
263,things,0,1,6,0
264,Neither,0,3,7,1
265,chatbot,0,2,7,0
