,Token,Score,Syllable_Count,Word_length,IsComplex
0,India,0,3,5,1
1,beset,-1,2,5,0
2,financial,0,4,9,1
3,scams,-1,1,5,0
4,since,0,2,5,0
5,Independence,0,5,12,1
6,Every,0,2,5,0
7,4,0,0,1,0
8,5,0,0,1,0
9,years,0,2,5,0
10,Indian,0,3,6,1
11,citizens,0,3,8,1
12,hear,0,2,4,0
13,trillions,0,3,9,1
14,public,0,2,6,0
15,money,0,2,5,0
16,misappropriated,0,0,15,0
17,eventually,0,4,10,1
18,lost,-1,1,4,0
19,people,0,3,6,1
20,public,0,2,6,0
21,supposed,0,0,8,0
22,start,0,1,5,0
23,article,0,3,7,1
24,examples,0,0,8,0
25,would,0,2,5,0
26,like,0,2,4,0
27,point,0,2,5,0
28,factors,0,2,7,0
29,scams,-1,1,5,0
30,like,0,2,4,0
31,Nirav,0,2,5,0
32,Modi,0,2,4,0
33,complicity,0,3,10,1
34,actors,0,2,6,0
35,within,0,2,6,0
36,financial,0,4,9,1
37,industry,0,2,8,0
38,systemic,0,2,8,0
39,loopholes,-1,0,9,0
40,emerging,0,3,8,1
41,financial,0,4,9,1
42,system,0,1,6,0
43,used,0,0,4,0
44,scams,-1,1,5,0
45,like,0,2,4,0
46,Nirav,0,2,5,0
47,Modi,0,2,4,0
48,financial,0,4,9,1
49,scam,-1,1,4,0
50,Independent,0,4,11,1
51,India,0,3,5,1
52,found,0,2,5,0
53,1958,0,0,4,0
54,Feroze,0,3,6,1
55,Gandhi,0,2,6,0
56,MP,0,0,2,0
57,found,0,2,5,0
58,1957,0,0,4,0
59,Haridas,0,3,7,1
60,Mundhra,0,2,7,0
61,got,0,1,3,0
62,government,0,3,10,1
63,owned,0,0,5,0
64,Life,0,2,4,0
65,Insurance,0,4,9,1
66,Corporation,0,5,11,1
67,LIC,0,1,3,0
68,invest,0,2,6,0
69,Rs,0,0,2,0
70,12,0,0,2,0
71,4,0,0,1,0
72,million,0,3,7,1
73,US,0,1,2,0
74,3,0,0,1,0
75,2,0,0,1,0
76,million,0,3,7,1
77,time,0,2,4,0
78,shares,0,0,6,0
79,troubled,-1,0,8,0
80,companies,0,0,9,0
81,Mundhra,0,2,7,0
82,held,0,1,4,0
83,large,0,2,5,0
84,number,0,2,6,0
85,shares,0,0,6,0
86,trying,0,1,6,0
87,boost,1,2,5,0
88,rigging,0,2,7,0
89,market,0,2,6,0
90,investment,0,3,10,1
91,done,0,2,4,0
92,governmental,0,4,12,1
93,pressure,0,3,8,1
94,bypassed,0,0,8,0
95,LIC,0,1,3,0
96,investment,0,3,10,1
97,committee,0,4,9,1
98,informed,0,0,8,0
99,decision,0,4,8,1
100,deal,0,2,4,0
101,gone,0,2,4,0
102,event,0,2,5,0
103,LIC,0,1,3,0
104,lost,-1,1,4,0
105,money,0,2,5,0
106,Several,0,3,7,1
107,leading,1,3,7,1
108,stockbrokers,0,3,12,1
109,LIC,0,1,3,0
110,Investment,0,3,10,1
111,Committee,0,4,9,1
112,testified,0,0,9,0
113,investment,0,3,10,1
114,could,0,2,5,0
115,made,0,2,4,0
116,purpose,0,3,7,1
117,propping,0,2,8,0
118,market,0,2,6,0
119,claimed,0,0,7,0
120,Finance,0,3,7,1
121,Ministry,0,2,8,0
122,LIC,0,1,3,0
123,consulted,0,0,9,0
124,Investment,0,3,10,1
125,Committee,0,4,9,1
126,would,0,2,5,0
127,pointed,0,0,7,0
128,Mundhra,0,2,7,0
129,forged,-1,0,6,0
130,shares,0,0,6,0
131,episode,0,4,7,1
132,1956,0,0,4,0
133,Finance,0,3,7,1
134,Minister,0,3,8,1
135,Krishnamachari,0,5,14,1
136,testimony,0,3,9,1
137,tried,0,0,5,0
138,distance,0,3,8,1
139,LIC,0,1,3,0
140,decision,0,4,8,1
141,implying,0,2,8,0
142,taken,0,2,5,0
143,Finance,0,3,7,1
144,Secretary,0,3,9,1
145,Justice,0,3,7,1
146,C,0,0,1,0
147,Chagla,0,2,6,0
148,held,0,1,4,0
149,Minister,0,3,8,1
150,constitutionally,0,6,16,1
151,responsible,0,4,11,1
152,action,0,3,6,1
153,taken,0,2,5,0
154,secretary,0,3,9,1
155,disowns,0,2,7,0
156,actions,0,3,7,1
157,Eventually,0,4,10,1
158,Krishanamachari,0,6,15,1
159,resign,0,2,6,0
160,Nehru,0,2,5,0
161,government,0,3,10,1
162,suffered,-1,0,8,0
163,considerable,0,5,12,1
164,loss,-1,1,4,0
165,prestige,1,3,8,1
166,incident,0,3,8,1
167,1992,0,0,4,0
168,Indian,0,3,6,1
169,stock,0,1,5,0
170,market,0,2,6,0
171,scam,-1,1,4,0
172,stock,0,1,5,0
173,market,0,2,6,0
174,scam,-1,1,4,0
175,orchestrated,0,0,12,0
176,Harshad,0,2,7,0
177,Mehta,0,2,5,0
178,scam,-1,1,4,0
179,took,0,2,4,0
180,place,0,2,5,0
181,Mumbai,0,3,6,1
182,biggest,0,2,7,0
183,market,0,2,6,0
184,scam,-1,1,4,0
185,India,0,3,5,1
186,1992,0,0,4,0
187,scam,-1,1,4,0
188,systematic,0,3,10,1
189,stock,0,1,5,0
190,fraud,-1,2,5,0
191,using,0,2,5,0
192,bank,0,1,4,0
193,receipts,0,3,8,1
194,stamp,0,1,5,0
195,paper,0,2,5,0
196,caused,0,0,6,0
