,Token,Score,Syllable_Count,Word_length,IsComplex
0,Machine,0,3,7,1
1,intelligence,1,5,12,1
2,last,0,1,4,0
3,invention,0,4,9,1
4,humanity,0,3,8,1
5,ever,0,2,4,0
6,need,0,0,4,0
7,make,0,2,4,0
8,Nick,0,1,4,0
9,Bostrom,0,2,7,0
10,put,0,1,3,0
11,frankly,0,1,7,0
12,Artificial,0,5,10,1
13,Intelligence,1,5,12,1
14,eventually,0,4,10,1
15,replace,0,3,7,1
16,jobs,0,1,4,0
17,Workers,0,2,7,0
18,variety,1,3,7,1
19,industries,0,0,10,0
20,healthcare,0,4,10,1
21,agriculture,0,5,11,1
22,manufacturing,0,5,13,1
23,expect,0,2,6,0
24,witness,0,2,7,0
25,hiring,0,2,6,0
26,disruptions,0,4,11,1
27,result,0,2,6,0
28,Artificial,0,5,10,1
29,Intelligence,1,5,12,1
30,history,0,2,7,0
31,taught,0,2,6,0
32,us,0,1,2,0
33,anything,0,2,8,0
34,disruptive,-1,4,10,1
35,paradigm,0,3,8,1
36,shifting,0,2,8,0
37,business,0,3,8,1
38,ideas,0,3,5,1
39,make,0,2,4,0
40,fortune,0,3,7,1
41,innovators,0,4,10,1
42,also,0,2,4,0
43,build,0,2,5,0
44,groundwork,0,3,10,1
45,business,0,3,8,1
46,models,0,2,6,0
47,market,0,2,6,0
48,entrants,0,2,8,0
49,job,0,1,3,0
50,opportunities,0,0,13,0
51,inevitably,-1,4,10,1
52,follow,0,2,6,0
53,true,0,2,4,0
54,robots,0,2,6,0
55,today,0,2,5,0
56,future,0,3,6,1
57,eventually,0,4,10,1
58,replace,0,3,7,1
59,humans,0,2,6,0
60,jobs,0,1,4,0
61,innovative,1,5,10,1
62,farming,0,2,7,0
63,equipment,0,4,9,1
64,humans,0,2,6,0
65,horses,0,0,6,0
66,industrial,0,4,10,1
67,revolution,0,5,10,1
68,mean,0,2,4,0
69,jobs,0,1,4,0
70,humans,0,2,6,0
71,end,0,1,3,0
72,hand,0,1,4,0
73,required,0,0,8,0
74,generate,0,4,8,1
75,provide,0,3,7,1
76,value,0,3,5,1
77,whole,0,2,5,0
78,ways,0,1,4,0
79,entirely,0,3,8,1
80,business,0,3,8,1
81,models,0,2,6,0
82,result,0,2,6,0
83,changes,0,0,7,0
84,According,0,3,9,1
85,71,0,0,2,0
86,businesses,0,0,10,0
87,worldwide,0,3,9,1
88,Artificial,0,5,10,1
89,Intelligence,1,5,12,1
90,help,0,1,4,0
91,people,0,3,6,1
92,overcome,0,4,8,1
93,critical,-1,3,8,1
94,challenging,-1,3,11,1
95,problems,-1,2,8,0
96,live,0,2,4,0
97,better,0,2,6,0
98,lives,0,0,5,0
99,Artificial,0,5,10,1
100,Intelligence,1,5,12,1
101,consultants,0,3,11,1
102,work,1,1,4,0
103,equally,0,3,7,1
104,fair,0,2,4,0
105,according,0,3,9,1
106,whopping,0,2,8,0
107,83,0,0,2,0
108,corporate,0,4,9,1
109,leaders,0,3,7,1
110,results,0,2,7,0
111,demonstrate,0,4,11,1
112,Artificial,0,5,10,1
113,Intelligence,1,5,12,1
114,steadily,0,3,8,1
115,extending,0,3,9,1
116,measures,0,0,8,0
117,yielding,0,3,8,1
118,societal,0,4,8,1
119,benefits,1,3,8,1
120,allowing,0,3,8,1
121,citizens,0,3,8,1
122,live,0,2,4,0
123,fulfilling,0,3,10,1
124,lives,0,0,5,0
125,Increase,0,4,8,1
126,Automation,0,6,10,1
127,Jobs,0,1,4,0
128,humans,0,2,6,0
129,compete,0,3,7,1
130,Since,0,2,5,0
131,advent,0,2,6,0
132,Industry,0,2,8,0
