,Token,Score,Syllable_Count,Word_length,IsComplex
0,Anything,0,2,8,0
1,could,0,2,5,0
2,give,0,2,4,0
3,rise,0,2,4,0
4,smarter,1,2,7,0
5,human,0,2,5,0
6,intelligence,1,5,12,1
7,form,0,1,4,0
8,Artificial,0,5,10,1
9,Intelligence,1,5,12,1
10,brain,0,2,5,0
11,computer,0,3,8,1
12,interfaces,0,0,10,0
13,neuroscience,0,6,12,1
14,based,0,0,5,0
15,human,0,2,5,0
16,intelligence,1,5,12,1
17,enhancement,1,4,11,1
18,wins,1,1,4,0
19,hands,0,1,5,0
20,beyond,0,2,6,0
21,contest,0,2,7,0
22,change,0,2,6,0
23,world,0,1,5,0
24,Nothing,0,2,7,0
25,even,0,2,4,0
26,league,0,4,6,1
27,Eliezer,0,4,7,1
28,Yudkowsky,0,2,9,0
29,AI,0,2,2,0
30,Researcher,0,4,10,1
31,denying,-1,2,7,0
32,robots,0,2,6,0
33,automation,0,6,10,1
34,increasingly,0,4,12,1
35,part,0,1,4,0
36,daily,0,2,5,0
37,lives,0,0,5,0
38,look,0,2,4,0
39,around,0,3,6,1
40,grocery,0,2,7,0
41,store,0,2,5,0
42,highway,0,2,7,0
43,everywhere,0,4,10,1
44,makes,0,0,5,0
45,us,0,1,2,0
46,wonder,0,2,6,0
47,AI,0,2,2,0
48,replace,0,3,7,1
49,human,0,2,5,0
50,intelligence,1,5,12,1
51,make,0,2,4,0
52,relevant,0,3,8,1
53,tomorrow,0,3,8,1
54,Let,0,1,3,0
55,us,0,1,2,0
56,try,0,0,3,0
57,find,0,1,4,0
58,answers,0,2,7,0
59,questions,0,4,9,1
60,Let,0,1,3,0
61,understand,0,3,10,1
62,Artificial,0,5,10,1
63,Intelligence,1,5,12,1
64,Artificial,0,5,10,1
65,Intelligence,1,5,12,1
66,AI,0,2,2,0
67,basically,0,3,9,1
68,machines,0,0,8,0
69,displaying,0,3,10,1
70,intelligence,1,5,12,1
71,seen,0,2,4,0
72,machine,0,3,7,1
73,playing,0,2,7,0
74,chess,0,1,5,0
75,robot,0,2,5,0
76,answering,0,3,9,1
77,questions,0,4,9,1
78,Facebook,0,4,8,1
79,Artificial,0,5,10,1
80,Intelligence,1,5,12,1
81,broken,-1,2,6,0
82,different,0,3,9,1
83,types,0,0,5,0
84,AIs,0,2,3,0
85,designed,0,0,8,0
86,specific,0,3,8,1
87,tasks,0,1,5,0
88,detecting,0,3,9,1
89,specific,0,3,8,1
90,type,0,1,4,0
91,cancer,-1,2,6,0
92,However,0,3,7,1
93,also,0,2,4,0
94,AIs,0,2,3,0
95,multiple,0,3,8,1
96,tasks,0,1,5,0
97,driving,0,2,7,0
98,car,0,1,3,0
99,types,0,0,5,0
100,AIs,0,2,3,0
101,Among,0,2,5,0
102,top,1,1,3,0
103,important,1,3,9,1
104,fields,0,2,6,0
105,Machine,0,3,7,1
106,Learning,0,3,8,1
107,ML,0,0,2,0
108,Neural,0,3,6,1
109,Network,0,2,7,0
110,Computer,0,3,8,1
111,Vision,0,3,6,1
112,Natural,0,3,7,1
113,Language,0,4,8,1
114,Processing,0,3,10,1
115,NLP,0,0,3,0
116,Machine,0,3,7,1
117,Learning,0,3,8,1
118,idea,0,3,4,1
119,machines,0,0,8,0
120,able,0,2,4,0
121,prove,0,2,5,0
122,similar,0,3,7,1
123,human,0,2,5,0
124,learns,0,2,6,0
125,skill,1,1,5,0
126,Machine,0,3,7,1
127,Learning,0,3,8,1
128,also,0,2,4,0
129,allows,0,2,6,0
130,optimization,0,6,12,1
131,existing,0,3,8,1
132,skill,1,1,5,0
133,Machine,0,3,7,1
134,Learning,0,3,8,1
135,used,0,0,4,0
136,different,0,3,9,1
137,fields,0,2,6,0
138,application,0,5,11,1
139,entertainment,0,5,13,1
140,Netflix,0,2,7,0
141,uses,0,0,4,0
142,Machine,0,3,7,1
143,Learning,0,3,8,1
144,recommend,1,3,9,1
145,shows,0,1,5,0
146,watch,0,1,5,0
147,based,0,0,5,0
148,shows,0,1,5,0
149,already,0,3,7,1
150,seen,0,2,4,0
151,Neural,0,3,6,1
152,Networks,0,2,8,0
153,algorithms,0,3,10,1
154,modeled,0,0,7,0
155,human,0,2,5,0
156,brain,0,2,5,0
157,algorithms,0,3,10,1
158,think,0,1,5,0
159,like,0,2,4,0
160,thereby,0,2,7,0
161,give,0,2,4,0
162,similar,0,3,7,1
163,results,0,2,7,0
164,human,0,2,5,0
165,give,0,2,4,0
166,Artificial,0,5,10,1
167,Neural,0,3,6,1
168,Networks,0,2,8,0
169,used,0,0,4,0
170,medical,0,3,7,1
171,fields,0,2,6,0
172,diagnose,0,4,8,1
173,cancers,0,2,7,0
174,like,0,2,4,0
175,lung,0,1,4,0
176,cancer,-1,2,6,0
177,prostate,0,3,8,1
178,cancer,-1,2,6,0
179,Computer,0,3,8,1
180,Vision,0,3,6,1
181,idea,0,3,4,1
182,computers,0,3,9,1
183,visions,0,3,7,1
184,allows,0,2,6,0
185,things,0,1,6,0
186,human,0,2,5,0
187,beings,0,2,6,0
188,potentially,0,4,11,1
189,better,0,2,6,0
190,human,0,2,5,0
191,beings,0,2,6,0
192,depending,0,3,9,1
193,programming,0,3,11,1
194,camera,0,3,6,1
195,used,0,0,4,0
196,etc,0,1,3,0
197,Computer,0,3,8,1
198,Vision,0,3,6,1
199,used,0,0,4,0
200,autonomous,1,6,10,1
201,vehicles,0,0,8,0
202,navigation,0,5,10,1
203,place,0,2,5,0
204,another,0,3,7,1
205,Natural,0,3,7,1
206,Language,0,4,8,1
207,Processing,0,3,10,1
208,idea,0,3,4,1
209,computers,0,3,9,1
210,listen,0,2,6,0
211,say,0,1,3,0
212,example,0,3,7,1
213,Siri,0,2,4,0
214,Siri,0,2,4,0
215,able,0,2,4,0
216,listen,0,2,6,0
217,demands,0,2,7,0
218,process,0,2,7,0
219,means,0,2,5,0
220,provide,0,3,7,1
221,answer,0,2,6,0
222,based,0,0,5,0
223,researched,0,0,10,0
224,know,0,1,4,0
225,AI,0,2,2,0
226,Let,0,1,3,0
227,talk,0,1,4,0
228,issue,-1,3,5,1
229,MACHINE,0,3,7,1
230,REPLACE,0,3,7,1
231,HUMAN,0,2,5,0
232,FUTURE,0,3,6,1
233,WORK,1,1,4,0
234,AIs,0,2,3,0
235,allow,0,2,5,0
236,automation,0,6,10,1
237,jobs,0,1,4,0
238,thereby,0,2,7,0
239,replacing,0,3,9,1
240,humans,0,2,6,0
241,already,0,3,7,1
242,means,0,2,5,0
243,job,0,1,3,0
244,loss,-1,1,4,0
245,concentration,0,5,13,1
246,wealth,0,2,6,0
247,selected,0,0,8,0
248,people,0,3,6,1
249,could,0,2,5,0
250,mean,0,2,4,0
251,destabilization,0,7,15,1
252,society,0,3,7,1
253,social,0,3,6,1
254,unrest,-1,2,6,0
255,addition,0,4,8,1
256,social,0,3,6,1
257,unrest,-1,2,6,0
258,AI,0,2,2,0
259,improves,1,0,8,0
260,time,0,2,4,0
261,means,0,2,5,0
262,becomes,0,0,7,0
263,smarter,1,2,7,0
264,faster,1,2,6,0
265,cheaper,1,3,7,1
266,implement,0,3,9,1
267,better,0,2,6,0
268,repetitive,-1,5,10,1
269,things,0,1,6,0
270,humans,0,2,6,0
271,currently,0,2,9,0
272,preparing,0,3,9,1
273,fast,0,1,4,0
274,food,0,2,4,0
275,predicted,0,0,9,0
276,AI,0,2,2,0
277,improve,1,3,7,1
278,much,0,1,4,0
279,50,0,0,2,0
280,100,0,0,3,0
281,years,0,2,5,0
282,AI,0,2,2,0
283,become,0,3,6,1
284,super,1,2,5,0
285,intelligent,1,4,11,1
286,means,0,2,5,0
287,become,0,3,6,1
288,even,0,2,4,0
289,smarter,1,2,7,0
290,intelligent,1,4,11,1
291,human,0,2,5,0
292,earth,0,2,5,0
293,According,0,3,9,1
294,experts,0,2,7,0
295,Elon,0,2,4,0
296,Musk,0,1,4,0
297,could,0,2,5,0
298,cause,0,3,5,1
299,end,0,1,3,0
300,human,0,2,5,0
301,civilization,0,6,12,1
302,AI,0,2,2,0
303,could,0,2,5,0
