,Token,Score,Syllable_Count,Word_length,IsComplex
0,Nature,0,3,6,1
1,blessed,0,0,7,0
2,humanity,0,3,8,1
3,earth,0,2,5,0
4,rounded,0,0,7,0
5,globe,0,2,5,0
6,essential,0,4,9,1
7,necessity,0,3,9,1
8,lies,-1,0,4,0
9,hand,0,1,4,0
10,human,0,2,5,0
11,Though,0,2,6,0
12,21st,0,0,4,0
13,century,0,2,7,0
14,building,0,3,8,1
15,Space,0,2,5,0
16,shuttle,0,2,7,0
17,exploring,0,3,9,1
18,space,0,2,5,0
19,become,0,3,6,1
20,obvious,0,4,7,1
21,activity,0,3,8,1
22,human,0,2,5,0
23,raise,0,3,5,1
24,inclusion,0,4,9,1
25,Start,0,1,5,0
26,ups,0,1,3,0
27,like,0,2,4,0
28,Space,0,2,5,0
29,dreamed,0,0,7,0
30,reaching,0,3,8,1
31,space,0,2,5,0
32,coming,0,2,6,0
33,true,0,2,4,0
34,agree,0,3,5,1
35,upon,0,2,4,0
36,fact,0,1,4,0
37,Growth,0,1,6,0
38,industrialization,0,8,17,1
39,generated,0,0,9,0
40,humungous,0,4,9,1
41,carbon,0,2,6,0
42,footprint,0,3,9,1
43,colonize,0,4,8,1
44,outer,0,3,5,1
45,space,0,2,5,0
46,create,0,3,6,1
47,much,0,1,4,0
48,needed,0,0,6,0
49,area,0,3,4,1
50,survival,1,3,8,1
51,time,0,2,4,0
52,human,0,2,5,0
53,race,0,2,4,0
54,visualized,0,0,10,0
55,undergone,0,4,9,1
56,transformations,0,5,15,1
57,transformations,0,5,15,1
58,starters,0,2,8,0
59,effective,1,4,9,1
60,major,0,2,5,0
61,role,0,2,4,0
62,existence,0,4,9,1
63,age,0,2,3,0
64,natural,0,3,7,1
65,transformation,0,5,14,1
66,like,0,2,4,0
67,shifting,0,2,8,0
68,tectonic,0,3,8,1
69,plates,0,0,6,0
70,manmade,0,3,7,1
71,like,0,2,4,0
72,Dumping,-1,2,7,0
73,water,0,2,5,0
74,damaging,-1,3,8,1
75,water,0,2,5,0
76,bodies,0,0,6,0
77,somehow,0,3,7,1
78,affected,0,0,8,0
79,usual,0,3,5,1
80,life,0,2,4,0
81,humans,0,2,6,0
82,creating,0,3,8,1
83,space,0,2,5,0
84,humans,0,2,6,0
85,next,0,1,4,0
86,humans,0,2,6,0
87,eyeing,0,3,6,1
88,idea,0,3,4,1
89,Colonizing,0,4,10,1
90,outer,0,3,5,1
91,space,0,2,5,0
92,emerged,0,0,7,0
93,NASA,0,2,4,0
94,able,0,2,4,0
95,launch,0,2,6,0
96,space,0,2,5,0
97,shuttle,0,2,7,0
98,heavy,0,2,5,0
99,payload,0,3,7,1
100,late,0,2,4,0
101,1990s,0,0,5,0
102,idea,0,3,4,1
103,stir,0,1,4,0
104,brain,0,2,5,0
105,time,0,2,4,0
106,later,0,2,5,0
107,like,0,2,4,0
108,apple,0,2,5,0
109,eyes,0,0,4,0
110,various,0,4,7,1
111,articles,0,0,8,0
112,astronauts,0,4,10,1
113,writeup,0,3,7,1
114,came,0,2,4,0
115,limelight,0,3,9,1
116,idea,0,3,4,1
117,saw,0,1,3,0
118,progression,0,4,11,1
119,space,0,2,5,0
120,exploration,0,5,11,1
121,normal,0,2,6,0
122,companies,0,0,9,0
123,petrified,-1,0,9,0
124,number,0,2,6,0
125,investments,0,3,11,1
126,kinds,0,1,5,0
127,projects,0,2,8,0
128,ask,0,1,3,0
129,things,0,1,6,0
130,change,0,2,6,0
131,entry,0,1,5,0
132,PayPal,0,2,6,0
133,owner,0,2,5,0
134,Elon,0,2,4,0
135,Musk,0,1,4,0
136,2002,0,0,4,0
137,laid,0,2,4,0
138,stones,0,0,6,0
139,Space,0,2,5,0
140,X,0,0,1,0
141,NASA,0,2,4,0
142,providing,0,3,9,1
143,launchpad,0,3,9,1
144,exploration,0,5,11,1
145,space,0,2,5,0
146,travel,0,2,6,0
147,legitimate,0,5,10,1
148,bottlenecks,0,3,11,1
149,knowing,0,2,7,0
150,nature,0,3,6,1
151,outer,0,3,5,1
152,space,0,2,5,0
153,boost,1,2,5,0
154,idea,0,3,4,1
155,colonizing,0,4,10,1
156,realize,0,4,7,1
157,optimum,0,3,7,1
158,main,0,2,4,0
159,target,0,2,6,0
160,company,0,2,7,0
161,put,0,1,3,0
162,forward,0,2,7,0
163,themself,0,2,8,0
164,get,0,1,3,0
165,planet,0,2,6,0
166,get,0,1,3,0
167,back,0,1,4,0
168,earth,0,2,5,0
169,safely,1,2,6,0
170,earlier,0,4,7,1
171,projects,0,2,8,0
172,due,0,2,3,0
173,high,0,1,4,0
174,fund,0,1,4,0
175,always,0,2,6,0
176,subdued,-1,0,7,0
177,priority,0,3,8,1
178,given,0,2,5,0
179,rocket,0,2,6,0
180,technology,0,3,10,1
181,Thus,0,1,4,0
182,unimaginable,-1,6,12,1
183,quest,0,2,5,0
184,search,0,2,6,0
185,space,0,2,5,0
186,far,0,1,3,0
187,fetched,0,0,7,0
188,though,0,2,6,0
189,2020,0,0,4,0
190,find,0,1,4,0
191,place,0,2,5,0
192,colonizing,0,4,10,1
193,outside,0,4,7,1
194,space,0,2,5,0
195,kind,0,1,4,0
196,emergence,0,4,9,1
197,technologies,0,0,12,0
198,led,1,0,3,0
199,escalation,0,5,10,1
200,spreading,0,3,9,1
201,roots,0,2,5,0
202,human,0,2,5,0
203,existence,0,4,9,1
204,plan,0,1,4,0
205,reaching,0,3,8,1
206,outer,0,3,5,1
207,space,0,2,5,0
208,plays,0,1,5,0
209,key,0,1,3,0
210,role,0,2,4,0
211,idea,0,3,4,1
212,Proper,1,2,6,0
213,Planning,0,2,8,0
214,Analysing,0,3,9,1
215,Organising,0,4,10,1
216,Executing,0,4,9,1
217,required,0,0,8,0
218,projects,0,2,8,0
219,successful,1,3,10,1
220,deeper,0,3,6,1
221,know,0,1,4,0
222,would,0,2,5,0
223,like,0,2,4,0
224,mention,0,3,7,1
225,example,0,3,7,1
226,Space,0,2,5,0
227,X,0,0,1,0
228,According,0,3,9,1
229,wud,0,1,3,0
230,successful,1,3,10,1
231,sending,0,2,7,0
232,Rockets,0,2,7,0
233,2022,0,0,4,0
234,would,0,2,5,0
235,able,0,2,4,0
236,colonize,0,4,8,1
237,2050,0,0,4,0
238,achieving,0,4,9,1
239,vision,0,3,6,1
240,planned,0,0,7,0
241,total,0,2,5,0
242,36,0,0,2,0
243,times,0,0,5,0
244,pre,0,1,3,0
245,launch,0,2,6,0
246,rocket,0,2,6,0
247,launching,0,3,9,1
248,2020,0,0,4,0
249,already,0,3,7,1
250,placed,0,0,6,0
251,star,0,1,4,0
252,link,0,1,4,0
253,satellites,0,0,10,0
254,provide,0,3,7,1
255,basic,0,2,5,0
256,network,0,2,7,0
257,connectivity,0,4,12,1
258,colonized,0,0,9,0
259,world,0,1,5,0
260,planned,0,0,7,0
261,extent,0,2,6,0
262,targeted,0,0,8,0
263,profit,0,2,6,0
264,22,0,0,2,0
265,billion,0,3,7,1
266,yearly,0,2,6,0
267,2025,0,0,4,0
268,Already,0,3,7,1
269,sent,0,1,4,0
270,manned,0,0,6,0
271,rocket,0,2,6,0
272,successfully,1,3,12,1
273,Elon,0,2,4,0
274,musk,0,1,4,0
275,plan,0,1,4,0
276,create,0,3,6,1
277,infrastructure,0,5,14,1
278,going,0,2,5,0
279,Mars,0,1,4,0
