,Token,Score,Syllable_Count,Word_length,IsComplex
0,Introduction,0,5,12,1
1,definition,0,5,10,1
2,consciousness,0,5,13,1
3,controversial,-1,5,13,1
4,centuries,0,0,9,0
5,hence,0,2,5,0
6,given,0,2,5,0
7,title,0,2,5,0
8,familiar,0,4,8,1
9,yet,0,1,3,0
10,mysterious,-1,4,10,1
11,aspects,0,2,7,0
12,lives,0,0,5,0
13,idea,0,3,4,1
14,concept,0,2,7,0
15,would,0,2,5,0
16,awareness,0,4,9,1
17,beings,0,2,6,0
18,surroundings,0,4,12,1
19,perception,0,4,10,1
20,reason,0,3,6,1
21,part,0,1,4,0
22,mind,0,1,4,0
23,remains,0,3,7,1
24,unascertained,0,0,13,0
25,consciousness,0,5,13,1
26,observable,0,4,10,1
27,unlike,0,3,6,1
28,brain,0,2,5,0
29,matter,0,2,6,0
30,studied,0,0,7,0
31,scientifically,0,5,14,1
32,physical,0,2,8,0
33,clarification,0,6,13,1
34,awareness,0,4,9,1
35,general,0,3,7,1
36,sense,0,2,5,0
37,incomplete,-1,4,10,1
38,include,0,3,7,1
39,feels,0,2,5,0
40,subject,0,2,7,0
41,subject,0,2,7,0
42,likewise,0,4,8,1
43,accounts,0,3,8,1
44,unbridgeable,0,5,12,1
45,illustrative,0,5,12,1
46,gap,0,1,3,0
47,physical,0,2,8,0
48,world,0,1,5,0
49,consciousness,0,5,13,1
50,suggested,0,0,9,0
51,incident,0,3,8,1
52,Eastern,0,3,7,1
53,Shamir,0,2,6,0
54,traditions,0,4,10,1
55,consciousness,0,5,13,1
56,universal,0,4,9,1
57,primal,0,2,6,0
58,Whilst,0,1,6,0
59,made,0,2,4,0
60,tremendous,0,4,10,1
61,progress,1,2,8,0
62,understanding,0,4,13,1
63,brain,0,2,5,0
64,activity,0,3,8,1
65,years,0,2,5,0
66,research,0,3,8,1
67,able,0,2,4,0
68,answer,0,2,6,0
69,questions,0,4,9,1
70,relating,0,3,8,1
71,nature,0,3,6,1
72,emotions,0,4,8,1
73,experiences,0,0,11,0
74,History,0,2,7,0
75,Beginning,0,3,9,1
76,within,0,2,6,0
77,late,0,2,4,0
78,nineteenth,0,4,10,1
79,century,0,2,7,0
80,time,0,2,4,0
